# da411426-e660-4670-800b-2e6b36c78c54
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -6.3511229; 0.6645480; 2.6624066; 0.0212721; 4.5990678; 0.0121438
0.0499421; -6.3726720; 0.6230188; 2.6635341; 0.0268870; 4.5991997; 0.0118406
0.0998841; -6.3942976; 0.5812131; 2.6649282; 0.0323156; 4.5993282; 0.0115449
0.1498262; -6.4159917; 0.5391178; 2.6665835; 0.0375556; 4.5994536; 0.0112566
0.1997682; -6.4377461; 0.4967199; 2.6684944; 0.0426049; 4.5995758; 0.0109755
0.2497103; -6.4595529; 0.4540061; 2.6706550; 0.0474620; 4.5996950; 0.0107015
0.2996524; -6.4814038; 0.4109634; 2.6730595; 0.0521258; 4.5998112; 0.0104342
0.3495944; -6.5032908; 0.3675786; 2.6757020; 0.0565954; 4.5999245; 0.0101737
0.3995365; -6.5252058; 0.3238386; 2.6785763; 0.0608705; 4.6000349; 0.0099196
0.4494785; -6.5471408; 0.2797303; 2.6816763; 0.0649511; 4.6001426; 0.0096719
0.4994206; -6.5690875; 0.2352406; 2.6849957; 0.0688373; 4.6002476; 0.0094304
0.5493627; -6.5910380; 0.1903564; 2.6885283; 0.0725297; 4.6003500; 0.0091949
0.5993047; -6.6129841; 0.1450644; 2.6922676; 0.0760293; 4.6004498; 0.0089653
0.6492468; -6.6349177; 0.0993517; 2.6962072; 0.0793372; 4.6005472; 0.0087415
0.6991889; -6.6568308; 0.0532050; 2.7003407; 0.0824549; 4.6006421; 0.0085232
0.7491309; -6.6787152; 0.0066113; 2.7046616; 0.0853841; 4.6007346; 0.0083103
0.7990730; -6.7005629; -0.0404426; 2.7091632; 0.0881267; 4.6008248; 0.0081028
0.8490150; -6.7223658; -0.0879698; 2.7138391; 0.0906852; 4.6009127; 0.0079005
0.8989571; -6.7441157; -0.1359833; 2.7186827; 0.0930618; 4.6009985; 0.0077032
0.9488992; -6.7658047; -0.1844965; 2.7236873; 0.0952594; 4.6010821; 0.0075108
0.9988412; -6.7874245; -0.2335223; 2.7288464; 0.0972810; 4.6011636; 0.0073233
1.0487833; -6.8062570; -0.2768000; 2.7334637; 0.0983392; 4.6012431; 0.0071404
1.0987253; -6.8248716; -0.3201249; 2.7381250; 0.0993648; 4.6013206; 0.0069621
1.1486674; -6.8434088; -0.3638353; 2.7428674; 0.1004074; 4.6013962; 0.0067883
1.1986095; -6.8618589; -0.4079260; 2.7476917; 0.1014678; 4.6014699; 0.0066188
1.2485515; -6.8802122; -0.4523915; 2.7525987; 0.1025470; 4.6015417; 0.0064535
1.2984936; -6.8984589; -0.4972267; 2.7575891; 0.1036456; 4.6016117; 0.0062923
1.3484356; -6.9165893; -0.5424262; 2.7626638; 0.1047643; 4.6016800; 0.0061352
1.3983777; -6.9345936; -0.5879848; 2.7678238; 0.1059039; 4.6017466; 0.0059820
1.4483198; -6.9524621; -0.6338971; 2.7730699; 0.1070650; 4.6018115; 0.0058326
