# 9d24aa62-9b26-4f40-ba33-e46dd7ac6731
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
1.0033958; 0.1130498; 1.1525421; 0.7511854; -0.9337058; -0.3580411; -0.1372734; 0.0000000; -2.7636771; -0.0590270; 5.6436694; 0.0372490
1.4438681; -0.6174614; 0.9242172; 1.9425178; -0.7708328; -0.6370375; -0.0000083; 0.8399271; -2.7331386; 0.1024499; 5.6482585; 0.0242939
2.1097865; -1.2692595; 1.0083704; 1.9445257; -0.6428867; -0.7659613; 0.3315959; 1.8531341; -2.6174365; 0.1337791; 5.6516570; 0.0146934
2.9235967; -1.9038216; 1.1834045; 1.8491412; -0.5993525; -0.8004852; 0.6733093; 2.9650073; -2.4741749; 0.1311684; 5.6539029; 0.0083455
3.8077445; -2.5826251; 1.2165773; 1.7431487; -0.6305805; -0.7761238; 0.8665773; 4.0657527; -2.3264885; 0.1381382; 5.6551569; 0.0048000
4.6855270; -3.3652019; 1.1676214; 1.6742014; -0.6993497; -0.7147797; 0.8176214; 5.1661354; -2.1875606; 0.1033644; 5.6558781; 0.0027608
5.5166459; -4.2278774; 1.1145473; 1.7415872; -0.7278764; -0.6857083; 0.5109042; 6.3747777; -2.0409505; 0.1433785; 5.6563204; 0.0015100
6.3101058; -5.0342915; 1.1425655; 1.0796698; -0.6865310; -0.7271006; 0.0027266; 7.6271856; -1.8419822; 0.1959916; 5.6565695; 0.0008054
7.0784165; -5.6400721; 1.2641268; 0.9961673; -0.5109472; -0.8596121; -0.5162792; 8.6764716; -1.5632550; 0.5523900; 4.4006324; -9.6653372
7.8340879; -5.9008471; 1.9522553; 1.1429701; -0.0509508; -0.9987012; -0.7879231; 9.2161912; -1.4169044; -1.6504468; 2.6964344; -1.8176896
8.5676040; -5.7201300; 2.5828939; 1.0685018; 0.4732980; -0.8809024; -0.7185018; 9.5710773; -1.3694987; 1.2354792; 3.0452462; 1.2497417
9.1846544; -5.1857808; 2.1426984; 0.9287396; 0.7897081; -0.6134828; -0.5787396; 10.1393952; -0.8228013; 1.0824470; 3.3295635; -2.7714982
9.5705267; -4.4300140; 2.2973830; 0.9266101; 0.9624117; -0.2715947; -0.5413117; 10.7831096; -0.2396456; 0.9692588; 3.5186069; -3.0951486
9.6105086; -3.5850444; 2.0280906; 0.9162419; 0.9775790; 0.2105689; -0.5662419; 11.3659423; 0.1476839; 0.2392523; 3.9558656; 4.0877819
