# e87e516b-0cc3-4296-a5e3-b3c1a248bceb
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
2.5370312; -0.5941445; 1.7648655; 1.2049815; -0.8452660; -0.5343457; 0.4422723; 0.0000000; -2.6782727; 0.0954450; 5.6501854; 0.0188514
3.2384153; -1.4983661; 1.8587204; 1.0439439; -0.7349463; -0.6781253; 0.6223812; 1.2533642; -2.5669266; 0.0533078; 5.6539977; 0.0080774
4.0979665; -2.3016172; 1.6339565; 1.2701004; -0.6293870; -0.7770920; 0.9237057; 2.5759323; -2.5379949; 0.0069896; 5.6552309; 0.0045909
5.0361794; -2.9620176; 1.7045702; 1.1272792; -0.5179437; -0.8554147; 1.3545702; 3.9484204; -2.4373629; 0.1421639; 5.6561587; -0.5779711
5.9735491; -3.4376873; 1.9829156; 0.8127013; -0.3744442; -0.9272495; 1.6257835; 5.2818855; -1.8363346; 0.6884437; 4.1749993; -4.3576547
6.8305703; -3.6867459; 2.4760591; 0.4016727; -0.1641384; -0.9864373; 1.2490030; 6.5664550; -1.3226277; 0.3746627; 4.2168935; 3.5544523
7.5277380; -3.6673135; 4.0467455; -0.3232877; 0.3107436; -0.9504938; 0.6732877; 7.8426779; -0.8464644; 0.4348840; 5.0899848; -2.3471208
7.9857841; -3.3376912; 3.8195551; -0.0509332; 0.8198377; -0.5725960; 0.4214785; 8.7862196; -0.5981192; -0.0255073; 5.0660949; 0.6357464
8.1682631; -2.6889447; 2.3467351; 0.6858528; 0.9977216; -0.0674659; 0.6491957; 9.7643449; -0.2990757; 0.5687566; 4.5933275; -5.2746645
8.1308480; -1.7826210; 1.4212768; 1.7442230; 0.9924302; 0.1228100; 0.7074250; 10.8218903; 0.3420223; 0.6884098; 4.1751021; -4.3578693
7.9411620; -0.6894106; 1.2710062; 2.0197377; 0.9787417; 0.2050969; 0.1859780; 12.0924431; 0.7339315; -0.0319791; 4.6132033; 1.7473303
7.6668284; 0.5199960; 0.0142507; 3.3397930; 0.9731572; 0.2301414; -0.3357493; 13.4474788; 0.4311117; -0.6500925; 4.2963835; -4.6147277
7.3754705; 1.7749084; 0.6698876; 4.1392842; 0.9763117; 0.2163690; 0.0553585; 14.8186793; -0.3163180; -0.2579376; 4.6606738; 2.5695299
7.1347105; 3.0046360; 1.9402476; 2.4503229; 0.9873236; 0.1587201; 0.8812050; 16.2936178; -0.3701480; 0.2228283; 5.2531920; -6.1772835
6.9779232; 4.1373272; 3.0998140; 1.2845297; 0.9911505; 0.1327431; 1.1660539; 17.4665654; 0.0823873; 0.6950172; 4.1552086; -4.3164396
6.8140267; 5.0969105; 4.2686977; 0.3279741; 0.9739126; 0.2269236; 0.7231280; 18.6296246; 0.8434691; 0.3320006; 4.6055008; 2.6973406
6.5236765; 5.8063562; 3.2520937; 0.2397726; 0.7953737; 0.6061194; 0.1102274; 19.7280393; 1.1203446; 0.3196072; 5.0860395; 1.5330507
5.9933311; 6.1916978; 3.4952099; 0.4753314; 0.3342350; 0.9424898; -0.1016383; 20.4180435; 1.2919674; 0.1605044; 5.2323005; 1.1557579
5.2321121; 6.2437127; 1.9968383; 0.6189364; -0.1248615; 0.9921742; 0.0371259; 21.1739072; 1.4381922; 0.4410908; 5.2158682; -6.8013203
4.3660852; 6.0149039; 1.3626415; 1.0517235; -0.3709168; 0.9286661; 0.2249991; 22.1257091; 1.8232835; 0.3979577; 4.8309091; 1.7645271
3.5259743; 5.5602334; 1.0971659; 1.3296705; -0.5752424; 0.8179830; 0.2970063; 23.1492534; 2.1587184; 0.3092202; 5.1748503; 1.3052312
2.8225480; 4.9309606; 1.0026707; 1.4287857; -0.7493593; 0.6621636; 0.2911899; 24.1649061; 2.4242433; 0.2284495; 5.3881958; 0.7418364
2.2871626; 4.1636112; 1.1279959; 1.2937796; -0.8791404; 0.4765629; 0.2797027; 25.1671948; 2.6357310; 0.2022676; 5.5057688; 0.4216275
1.9314233; 3.2910463; 1.3844194; 1.0024444; -0.9612798; 0.2755742; 0.2861209; 26.1725530; 2.8294017; 0.1919398; 5.5714865; 0.2396346
1.7669353; 2.3461271; 2.1602488; 0.4087046; -0.9977652; 0.0668171; 0.3107042; 27.1969045; 3.0209954; 0.1987830; 5.6084943; 0.1361979
1.8053038; 1.3617148; 2.3873221; 0.0102954; -0.9897065; -0.1431120; 0.3397046; 28.2527939; -3.0629613; 0.2070279; 5.6294195; 0.0774089
2.0581340; 0.3706705; 2.1232143; 0.6216633; -0.9377569; -0.3472923; 0.3676053; 29.3522212; -2.7966028; 0.1449731; 5.6451153; 0.0331682
