# 49f952c4-6c61-464a-a5eb-5e907f109ad9
# 87ab6887505f8eb0331560cea9257ce09d6d7c24
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
-0.7089185; 2.6732054; 0.9769769; 0.6240231; -0.9034001; -0.4287985; 0.3602495; 0.0000000; -2.7200551; 0.2029699; 5.2661340; -3.3762356
-0.2591093; 1.8977427; 1.3751428; 0.2126021; -0.8162253; -0.5777338; 0.3587989; 0.9604504; -2.5023430; 0.2569901; 4.7366909; -2.2578980
0.3191351; 1.2358169; 1.8257267; -0.0582089; -0.6776655; -0.7353703; 0.3082089; 1.9133417; -2.2382312; 0.3022885; 4.3681873; -1.4222416
1.0342545; 0.7153645; 1.1522839; 0.5358267; -0.4908079; -0.8712678; 0.2132694; 2.8653030; -1.9813892; 0.2389707; 4.3209030; 0.6400024
1.8811164; 0.3606061; 0.6651542; 0.9618020; -0.2815784; -0.9595382; 0.1214223; 3.8276311; -1.7740869; 0.1751490; 4.5502391; 1.3842277
2.8349098; 0.1875842; 0.3197890; 1.2710913; -0.0798642; -0.9968058; 0.0697890; 4.8190272; -1.6300550; 0.1292291; 4.8468841; 1.5730975
3.8495767; 0.2015406; 0.3452559; 1.2412476; 0.1033907; -0.9946408; 0.0741467; 5.8477238; -1.4951267; 0.1301581; 5.0695042; 0.5574605
4.8651105; 0.3978905; 0.3707228; 1.2114038; 0.2745888; -0.9615617; 0.1207228; 6.9009926; -1.3502564; 0.1485453; 5.0981970; -0.2893021
5.8175252; 0.7642791; 0.6887011; 0.8966820; 0.4436658; -0.8961923; 0.1796223; 7.9520392; -1.1571672; 0.2254041; 4.8586842; -1.8833115
6.6487078; 1.2826664; 1.1310552; 0.4740289; 0.6145072; -0.7889112; 0.1981472; 8.9728094; -0.8882889; 0.2935925; 4.4613714; -1.7413824
7.3139863; 1.9314288; 1.7946290; 0.0986074; 0.7775021; -0.6288803; 0.1513926; 9.9464042; -0.6013991; 0.3183075; 4.2086734; -0.8854718
7.7861369; 2.6874893; 1.1542737; 0.5191217; 0.9074289; -0.4202057; 0.0692415; 10.8707157; -0.3513225; 0.2037541; 4.3188159; 1.6362715
8.0585494; 3.5284536; 0.6943648; 0.8496227; 0.9803208; -0.1974110; 0.0329580; 11.7684132; -0.2044183; 0.1348058; 4.6554614; 2.1991347
8.1477677; 4.4346259; 0.4893096; 1.0874329; 0.9999552; -0.0094648; 0.0742842; 12.6902682; -0.0875334; 0.1114422; 5.0104219; 1.5273973
8.0906258; 5.3899684; 0.5152649; 1.0562945; 0.9931498; 0.1168478; 0.1705499; 13.6673297; 0.0031702; 0.0821203; 5.2961497; 1.5325880
7.9349433; 6.3817998; 0.5412202; 1.0251560; 0.9829371; 0.1839422; 0.2912202; 14.6936720; 0.0618980; 0.0317881; 5.6767194; 2.4071519
7.7291271; 7.4002755; 0.6726230; 0.9249563; 0.9785553; 0.2059844; 0.4226230; 15.7485789; 0.0829777; 0.0090574; 6.0876060; 2.2317793
7.5132761; 8.4378796; 0.8421451; 0.7997909; 0.9803451; 0.1972903; 0.5469786; 16.8111407; 0.0924491; 0.0092177; 6.3792287; 1.2636961
7.3163465; 9.4889722; 0.9157109; 0.7282586; 0.9857213; 0.1683849; 0.6397855; 17.8670410; 0.1017395; 0.0074712; 6.5505926; 0.7915465
7.1570180; 10.5493702; 0.9492171; 0.6791170; 0.9918531; 0.1273870; 0.6870817; 18.9128773; 0.1046569; -0.0017147; 6.6795423; 0.7311722
7.0448342; 11.6159305; 0.9403880; 0.6649771; 0.9966660; 0.0815894; 0.6903880; 19.9536129; 0.0968372; -0.0132046; 6.7196152; -0.1826537
6.9813424; 12.6861335; 0.9306346; 0.6516014; 0.9992893; 0.0376941; 0.6575718; 20.9965670; 0.0858555; -0.0074818; 6.7211246; 0.1996497
6.9612335; 13.7576665; 0.8447140; 0.7317447; 0.9999988; 0.0015679; 0.5900445; 22.0478596; 0.0813476; -0.0011596; 6.7727426; 0.4527001
6.9734826; 14.8280068; 0.7417160; 0.8328557; 0.9997574; -0.0220279; 0.4917160; 23.1099470; 0.0816137; 0.0016111; 6.8311457; 0.2210907
7.0024882; 15.8940052; 0.6468987; 0.9556341; 0.9995673; -0.0294149; 0.3743487; 24.1794257; 0.0840985; 0.0028678; 6.8527406; 0.0579801
7.0292129; 16.9514692; 0.5556373; 1.0878311; 0.9998434; -0.0176975; 0.2564589; 25.2472509; 0.0863897; 0.0015061; 6.8657142; 0.1089969
7.0323232; 17.9947463; 0.4630414; 1.1762988; 0.9998780; 0.0156192; 0.1625067; 26.3015243; 0.0851960; -0.0039261; 6.8772973; -0.1028459
6.9893296; 19.0163077; 0.3692275; 1.2248629; 0.9973429; 0.0728507; 0.1192275; 27.3328731; 0.0839516; 0.0019974; 6.8845191; 0.0088423
6.8777265; 20.0063311; 0.4065091; 1.1780821; 0.9877651; 0.1559492; 0.1366790; 28.3401105; 0.1160781; 0.0635207; 6.6341890; -3.1966721
6.6761323; 20.9522844; 0.4971527; 1.0924915; 0.9640653; 0.2656655; 0.1880649; 29.3273660; 0.2108527; 0.1269412; 6.0398132; -4.0659325
6.3654296; 21.8385088; 0.7429380; 0.8394286; 0.9165965; 0.3998135; 0.2440001; 30.2998651; 0.3553447; 0.1777163; 5.4290957; -3.2260717
5.9299057; 22.6458035; 1.1242270; 0.4400922; 0.8344493; 0.5510847; 0.2846132; 31.2651687; 0.5603442; 0.2322569; 4.8893455; -2.3048212
5.3586127; 23.3512673; 1.8347839; -0.0401516; 0.7098673; 0.7043354; 0.2901516; 32.2321377; 0.8017448; 0.2775912; 4.5081875; -1.5434811
4.6482984; 23.9299948; 1.5094505; 0.3443345; 0.5461851; 0.8376645; 0.2499656; 33.2086143; 1.0516881; 0.2253005; 4.4319136; 0.4515558
3.8079265; 24.3586448; 0.8168368; 0.7765263; 0.3604246; 0.9327883; 0.1987711; 34.2018466; 1.2425127; 0.1774163; 4.5994606; 1.0813668
2.8634075; 24.6192711; 0.4185695; 1.1838720; 0.1731911; 0.9848882; 0.1685695; 35.2190201; 1.4134089; 0.1505314; 4.8253959; 0.9213286
1.8607203; 24.7026042; 1.1091304; 2.3224247; -0.0059584; 0.9999822; 0.1615023; 36.2561353; 1.5882182; 0.1849207; 4.8637553; -0.4757879
0.8606276; 24.6084654; 0.7919172; 1.8244846; -0.1821349; 0.9832735; 0.1430841; 37.2894979; 1.7843748; 0.2140157; 4.7424815; -0.8429661
-0.0731014; 24.3439624; 0.4322229; 1.1711482; -0.3655992; 0.9307724; 0.0976696; 38.2857043; 1.9976520; 0.2180037; 4.6355623; -0.3989475
