# 434dbc0f-7827-4e89-a943-574fe35c8da5
# a0348e57fc9224038569661455d7979e85cb1d23
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
5.8296645; 9.6848773; 2.2377432; 1.2732568; 0.9262984; -0.3767908; 0.8289428; 0.0000000; -0.8698957; 0.4970857; 2.3307047; -0.7585683
6.1437256; 10.7050599; 1.6277474; 1.3968601; 0.9762238; -0.2167651; 1.1277474; 1.2901439; -0.1967109; 0.4998638; 2.1624107; 0.1562481
6.3310536; 12.0033978; 1.3952412; 1.4743251; 0.9967593; -0.0804423; 0.8952412; 2.7670527; 0.1130889; 0.0180110; 3.1402366; 3.1795125
6.3663783; 13.4223222; 1.3940838; 1.4586804; 0.9995048; 0.0314657; 0.7393019; 4.2868129; -0.0064453; -0.1705840; 3.5396421; -1.4067835
6.2384351; 14.7891235; 1.4812848; 1.1514144; 0.9869412; 0.1610811; 0.9812848; 5.7922254; -0.0629973; 0.0967427; 3.5313411; -6.3062828
5.9540389; 15.9420425; 1.7442072; 0.7732843; 0.9433614; 0.3317668; 1.1415323; 7.1941645; 0.4811276; 0.7842073; 1.9558935; -0.9563798
5.5417478; 16.7554541; 2.3377736; 0.2509028; 0.8031056; 0.5958367; 0.6385375; 8.4916043; 1.1919635; 0.4662901; 2.2266611; 0.1367445
5.0506558; 17.1542691; 2.2502699; 0.3540656; 0.2868198; 0.9579845; 0.1459344; 9.4734197; 1.6037127; 0.3150814; 2.4136326; 0.8725039
4.5419244; 17.1122619; 2.4685272; 0.5238835; -0.4201439; 0.9074575; 0.1061170; 10.0759228; 1.7900999; 0.0196691; 2.5895410; 4.0597784
4.0786815; 16.6467846; 2.2712195; 0.7325164; -0.8503419; 0.5262306; 0.5000160; 10.9749277; 2.1014673; 0.4971783; 2.4401796; -1.4094918
3.7159059; 15.8134289; 1.8395875; 1.0136623; -0.9573884; 0.2888034; 0.9041042; 12.1493507; 2.6642261; 0.5643410; 2.1899633; -0.6120757
3.4913870; 14.7002860; 1.3978546; 1.4197850; -0.9927415; 0.1202673; 0.8978546; 13.4517194; 3.1359784; 0.2044744; 2.6173572; 1.4858320
3.4228741; 13.4198922; 1.2199929; 1.1877672; -0.9999637; -0.0085189; 0.7199929; 14.8505979; -3.0519498; -0.0579836; 3.6026469; 1.2500879
3.5104295; 12.0992282; 1.3233974; 1.1626669; -0.9924334; -0.1227843; 0.7510771; 16.2591918; 3.1390118; -0.0612199; 3.8633328; 0.4412100
3.7393703; 10.8694987; 1.4855799; 1.0018521; -0.9682437; -0.2500081; 0.9855799; 17.6439137; -3.0478350; 0.2276029; 3.0658721; -3.8793675
4.0832121; 9.8559117; 2.0035558; 0.3899672; -0.9163527; -0.4003720; 0.9744414; 18.8882172; -2.4623135; 0.7214255; 2.0238002; -0.9335232
4.5066119; 9.1674573; 2.6799571; 0.2327581; -0.7343890; -0.6787288; 0.4515965; 20.0620034; -1.8014857; 0.6445496; 2.1265614; -0.9602120
4.9683117; 8.8866862; 2.4680458; 0.4473561; -0.0824312; -0.9965968; 0.0526439; 20.8552035; -1.5637777; -0.7022803; 2.0668329; -1.0679496
5.4240820; 9.0594895; 2.1611075; 0.6073703; 0.6334825; -0.7737570; 0.2556830; 21.4804167; -1.3442684; 0.6183910; 1.8837523; 0.7241204
