# 5362e704-60ad-4c06-80df-6001fac61d96
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
1.0644986; 0.1648221; 1.2340277; 0.6581127; -0.8693751; -0.4941527; 0.0552992; 0.0000000; -2.8782878; 0.2614677; 4.6016209; 0.0062713
2.2580210; -1.2404203; 1.1298171; 1.8247855; -0.6678031; -0.7443380; 0.5892723; 2.0115647; -2.5883325; 0.0928506; 4.6036379; 0.0016295
3.7431339; -2.5031194; 1.2417523; 1.7310862; -0.6705284; -0.7418839; 0.9917523; 3.9918873; -2.3726312; 0.1306517; 4.6041619; 0.0004234
5.1558864; -3.9695010; 1.0529610; 1.7802706; -0.7521323; -0.6590121; 0.6730521; 5.9614932; -2.0730103; 0.1390717; 4.6042980; 0.0001100
6.5403817; -5.3631489; 1.0805117; 1.0870368; -0.5985972; -0.8010501; -0.2807940; 8.1546019; -1.7784375; 0.2362307; 4.6043334; 0.0000286
8.2318160; -5.9516809; 2.3155113; 1.2319765; 0.0930847; -0.9956582; -0.9819765; 9.6094711; -1.2082638; 0.3487144; 4.1414867; -2.8773304
9.7342681; -4.9276144; 1.8237272; 1.2031427; 0.9302290; -0.3669795; -0.9531427; 10.4323218; -0.4062945; 1.0426331; 3.3925391; -2.8773304
9.4685122; -3.2701183; 1.6988684; 0.8769553; 0.8574456; 0.5145747; -0.5121972; 11.5330418; 0.3072375; 0.3256454; 2.4221335; 3.8333174
8.0185810; -1.9046393; 1.6487246; 1.2235497; 0.5664253; 0.8241131; 0.2480838; 13.5696307; 0.5612112; 0.0648851; 4.1492076; 0.9960190
6.5273830; -0.5929322; 1.1252266; 1.5493468; 0.8336000; 0.5523685; 0.7057117; 15.3955183; 0.6611414; -0.1231668; 4.4905244; 0.2587977
6.1321085; 1.1446592; 0.5441913; 2.7727726; 0.9779637; -0.2087751; 0.2941913; 16.8753652; 0.3006832; -0.4187940; 4.5466828; -1.8255275
7.1061217; 2.7809422; 1.5475809; 2.1795171; 0.8214589; -0.5702677; -0.7877481; 19.0385888; -0.1469961; -0.2381222; 4.3710627; 0.5234528
7.8598747; 4.4779170; 2.5830564; 1.3579538; 0.9782482; -0.2074379; -0.7406336; 20.5993597; -0.3645543; 0.5247208; 4.5448829; -4.0026016
7.6144579; 6.4193432; 2.3275967; 0.7730620; 0.8201182; 0.5721942; -0.5230620; 22.1163101; 0.8401113; 1.2770865; 3.0653528; -2.3490969
6.1228376; 7.2054192; 2.7131821; 0.6964024; -0.0293020; 0.9995706; -0.4464024; 23.4087385; 1.4050309; 0.1574823; 2.1885359; 4.1025777
4.4849368; 6.2901162; 1.2361389; 1.0192775; -0.6846663; 0.7288567; 0.6141915; 25.4977363; 1.8558719; 0.4146314; 4.1153462; 0.7437542
3.0745523; 4.8976289; 1.1605012; 1.2257848; -0.6820098; 0.7313431; 0.9105012; 27.5198870; 2.4231438; 0.1228596; 4.4463457; 0.3575025
1.6297613; 3.5744359; 0.9942477; 1.3174643; -0.7190771; 0.6949303; 0.3723715; 29.5750588; 2.7282226; 0.2044615; 4.5638183; 0.0928906
0.6506972; 1.9227567; 1.3032157; 0.5296536; -0.9881296; 0.1536223; -0.2796536; 31.5827381; 3.0240449; 0.0911568; 4.5938498; 0.0241360
