# 4f71413b-84f1-4fb7-8919-98dbbf1f17bf
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
1.0679733; 0.1638031; 1.2362453; 0.6571929; -0.8835872; -0.4682666; 0.0576652; 0.0000000; -2.8600094; 0.1738088; 4.5990532; 0.0121773
1.1623741; -0.0035372; 1.1677352; 0.8636694; -0.8579184; -0.5137860; 0.1005725; 0.2009003; -2.8270567; 0.1557620; 4.5995627; 0.0110057
1.2644153; -0.1646503; 1.1154057; 1.1020957; -0.8314370; -0.5556190; 0.1476078; 0.4032880; -2.7970351; 0.1446679; 4.6000231; 0.0099468
1.3736268; -0.3200728; 1.0893243; 1.3923501; -0.8048483; -0.5934806; 0.1987779; 0.6077536; -2.7688667; 0.1373846; 4.6004392; 0.0089898
1.4895389; -0.4703419; 1.0632428; 1.6826045; -0.7787877; -0.6272876; 0.2537934; 0.8146291; -2.7419069; 0.1326979; 4.6008152; 0.0081249
1.6116814; -0.6159943; 1.0489283; 1.8865431; -0.7538293; -0.6570703; 0.3121277; 1.0239884; -2.7092737; 0.1289464; 4.6012347; 0.0071598
1.7395845; -0.7575670; 1.0638959; 1.8756838; -0.7304580; -0.6829576; 0.3730682; 1.2356755; -2.6837051; 0.1270642; 4.6015341; 0.0064709
1.8727782; -0.8955968; 1.0788636; 1.8648246; -0.7090662; -0.7051419; 0.4357620; 1.4493415; -2.6584489; 0.1259003; 4.6018047; 0.0058483
2.0107926; -1.0306206; 1.0938312; 1.8539654; -0.6899563; -0.7238510; 0.4992566; 1.6644897; -2.6333811; 0.1253056; 4.6020493; 0.0052856
2.1531576; -1.1631753; 1.1087988; 1.8431061; -0.6733489; -0.7393248; 0.5625364; 1.8805223; -2.6020926; 0.1254692; 4.6023221; 0.0046578
2.2994034; -1.2937979; 1.1237664; 1.8322469; -0.6593948; -0.7517969; 0.6245552; 2.0967872; -2.5769564; 0.1263940; 4.6025169; 0.0042097
2.4490600; -1.4230252; 1.1383007; 1.8228797; -0.6481864; -0.7614817; 0.6842645; 2.3126212; -2.5515629; 0.1280129; 4.6026928; 0.0038046
2.6016574; -1.5513940; 1.1475796; 1.8316067; -0.6397696; -0.7685667; 0.7406374; 2.5273898; -2.5192227; 0.1311979; 4.6028892; 0.0033527
2.7567257; -1.6794414; 1.1889366; 1.8126922; -0.6341534; -0.7732073; 0.7926884; 2.7405230; -2.4926881; 0.1346915; 4.6030294; 0.0030301
2.9137950; -1.8077041; 1.2359650; 1.7888907; -0.6313171; -0.7755248; 0.8394884; 2.9515464; -2.4653713; 0.1389720; 4.6031560; 0.0027386
