# a9ad116e-f00a-4af2-ab71-d87da00fa2b9
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
1.0033958; 0.1130498; 1.1525421; 0.7511854; -0.9337058; -0.3580411; -0.2232318; 0.0000000; -2.7931370; -0.1080073; 4.6041376; 0.0004793
1.4438681; -0.6174614; 0.9242172; 1.9425178; -0.7708328; -0.6370375; -0.0548634; 0.8226078; -2.7154314; 0.1123628; 4.6042887; 0.0001314
2.1097865; -1.2692595; 1.0083704; 1.9445257; -0.6428867; -0.7659613; 0.3256035; 1.8468836; -2.7154314; 0.1123628; 4.6042887; 0.0001314
2.9235967; -1.9038216; 1.1834045; 1.8491412; -0.5993525; -0.8004852; 0.7273699; 2.9794631; -2.5351635; 0.1309256; 4.6043301; 0.0000360
3.8077445; -2.5826251; 1.2165773; 1.7431487; -0.6305805; -0.7761238; 0.9665773; 4.0862145; -2.3045395; 0.1861572; 4.6043415; 0.0000099
4.6855270; -3.3652019; 1.1676214; 1.6742014; -0.6993497; -0.7147797; 0.9176214; 5.1782051; -2.0732209; 0.1404676; 4.6043446; 0.0000027
5.5166459; -4.2278774; 1.1145473; 1.7415872; -0.7278764; -0.6857083; 0.5553400; 6.3992413; -2.0732209; 0.1404676; 4.6043446; 0.0000027
6.3101058; -5.0342915; 1.1425655; 1.0796698; -0.6865310; -0.7271006; -0.0246890; 7.6823642; -1.8634085; 0.1518673; 4.6043455; 0.0000007
7.0784165; -5.6400721; 1.2641268; 0.9961673; -0.5109472; -0.8596121; -0.5880320; 8.7437977; -1.5295900; 0.5551989; 4.6043457; -5.0702161
7.8340879; -5.9008471; 1.9522553; 1.1429701; -0.0509508; -0.9987012; -0.8766435; 9.2572269; -1.5295900; 0.5551989; 4.6043457; -5.0702161
8.5676040; -5.7201300; 2.5828939; 1.0685018; 0.4732980; -0.8809024; -0.8185018; 9.5603930; -0.7559670; 1.0977864; 2.5457262; 3.2653708
9.1846544; -5.1857808; 2.1426984; 0.9287396; 0.7897081; -0.6134828; -0.6787396; 10.0880689; -0.7559670; 1.0977864; 2.5457262; 3.2653708
9.5705267; -4.4300140; 2.2973830; 0.9266101; 0.9624117; -0.2715947; -0.6413352; 10.6934084; -0.7559670; 1.0977864; 2.5457262; 3.2653708
9.6105086; -3.5850444; 2.0280906; 0.9162419; 0.9775790; 0.2105689; -0.6662419; 11.2274671; 0.2790554; 0.5349186; 3.9950441; -0.5275963
9.1949174; -2.7805398; 1.4420916; 0.9046785; 0.7685484; 0.6397917; -0.5224909; 11.8625582; 0.2790554; 0.5349186; 3.9950441; -0.5275963
8.3781790; -2.0630691; 1.5396585; 1.0615621; 0.5880258; 0.8088422; -0.2175506; 12.8955598; 0.6965617; 0.1506638; 3.7985154; 1.6928202
7.4113238; -1.3796477; 1.6248769; 1.5332096; 0.5806848; 0.8141285; 0.0682472; 14.1106527; 0.6381053; -0.1654041; 4.3980817; 0.4642192
6.5569775; -0.6714193; 1.2016339; 1.5109858; 0.7270413; 0.6865937; 0.3652481; 15.2135229; 0.6381053; -0.1654041; 4.3980817; 0.4642192
6.0777461; 0.1204678; 0.7854311; 1.8932357; 0.9716803; 0.2362995; 0.5354311; 15.9192005; 0.3258611; 0.3622772; 4.5487132; -0.6684992
6.1384437; 1.0321609; 0.5276565; 2.7553553; 0.9600325; -0.2798884; 0.2776565; 16.6547220; 0.3258611; 0.3622772; 4.5487132; -0.6684992
6.5792025; 2.0244263; 0.7104655; 2.2925846; 0.8750904; -0.4839595; -0.0766462; 17.7718035; -0.1513851; -0.2455095; 4.3301363; 0.6124799
7.1728583; 3.0424065; 1.6927732; 2.0530416; 0.8611898; -0.5082835; -0.3090427; 18.9771054; -0.3702249; 0.0153441; 4.5308016; 0.1679593
7.6922468; 4.0312437; 2.1455202; 1.7049852; 0.9223359; -0.3863891; -0.4816378; 20.0512714; -0.1645478; 0.2591341; 4.5842953; -1.2606008
7.9154267; 4.9362973; 2.9214678; 1.0508718; 0.9995234; -0.0308692; -0.5539903; 20.7969486; -0.1645478; 0.2591341; 4.5842953; -1.2606008
7.7623277; 5.7088243; 2.8804504; 0.6934220; 0.9093076; 0.4161245; -0.4289629; 21.3749929; 0.3472546; 0.6913984; 4.1660689; -4.3390325
7.3080028; 6.3065303; 2.5022226; 0.4592605; 0.6527512; 0.7575723; -0.2092605; 22.0297179; 0.3472546; 0.6913984; 4.1660689; -4.3390325
6.6353848; 6.6874485; 2.7281762; 0.3130210; 0.3243256; 0.9459455; -0.0161275; 22.7902814; 1.2284733; 0.4245395; 2.1816375; 4.1101144
5.8274064; 6.8096119; 2.5394875; 0.3865684; -0.0261351; 0.9996584; 0.1528635; 23.6524478; 1.2284733; 0.4245395; 2.1816375; 4.1101144
4.9619043; 6.6417235; 1.3876299; 0.7371004; -0.3292289; 0.9442502; 0.3613106; 24.6369775; 1.7136034; 0.3023914; 4.0855307; 1.1271098
4.0879244; 6.2127698; 0.9821419; 1.3561102; -0.5318233; 0.8468554; 0.5410132; 25.7298659; 2.1247062; 0.2545855; 4.4680710; 0.3090854
3.2444109; 5.5728876; 0.8515003; 1.5704455; -0.6663398; 0.7456483; 0.6015003; 26.8899283; 2.4208313; 0.1467392; 4.5673800; 0.0847600
2.4702972; 4.7722369; 0.8154817; 1.5394441; -0.7655595; 0.6433651; 0.5654817; 28.0890728; 2.4208313; 0.1467392; 4.5673800; 0.0847600
1.8045168; 3.8609774; 0.9451008; 1.4042712; -0.8459587; 0.5332485; 0.5028633; 29.2934187; 2.6088262; 0.1527664; 4.5942383; 0.0232436
1.2860030; 2.8892692; 1.1887798; 0.8931625; -0.9158679; 0.4014798; 0.3752703; 30.4695751; 2.8871290; 0.2390201; 4.6015762; 0.0063740
0.9536893; 1.9072719; 1.6097350; 0.2388984; -0.9737810; 0.2274874; 0.1512706; 31.5796214; -3.0286237; 0.2509056; 4.6035865; 0.0017479
