# 2922034d-9284-4eec-a5bc-a0cf49d7a7f6
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
-6.4932468; 0.7115075; 1.3683505; 1.5576495; -0.9495122; 0.3137302; -0.1496810; 0.0000000; 2.6624066; 0.0212721; 4.5990678; 0.0121438
-6.6892915; -0.2458916; 1.2428754; 1.7304693; -0.9951766; 0.0980993; 0.0997454; 1.0014593; 2.7288464; 0.0972810; 4.6011636; 0.0073233
-6.7027909; -1.2906958; 1.2003011; 1.7797966; -0.9981731; -0.0604191; 0.4836490; 2.1564785; 2.8561489; 0.1258549; 4.6025673; 0.0040936
-6.5719528; -2.4071538; 1.2595522; 1.6785334; -0.9867417; -0.1622987; 0.8717895; 3.4113967; 3.0350004; 0.1631604; 4.6034007; 0.0021754
-6.3346940; -3.5776777; 1.4417180; 1.5091811; -0.9725942; -0.2325093; 1.0917180; 4.6993528; -2.9530566; 0.3036059; 4.6038561; 0.0011272
-6.0168188; -4.7082684; 1.7890304; 1.2483450; -0.9482625; -0.3174874; 0.9033400; 5.9883471; -2.4547705; 0.4315648; 4.3552717; -0.9281871
-5.6279219; -5.6026645; 2.3194250; 0.9465161; -0.8679297; -0.4966871; 0.2667031; 7.2586757; -1.8977511; 0.7816668; 3.8810305; -3.6738594
-5.1764651; -6.0574599; 3.0171776; 0.6400292; -0.2133287; -0.9769805; -0.2900292; 8.0106933; -1.5449279; -1.7381295; 2.1741103; -1.1528998
-4.6729711; -5.9070132; 3.7381100; 0.5276885; 0.5702949; -0.8214400; -0.1088502; 8.3957641; -1.4646868; 1.0793297; 2.3005284; 3.9768923
-4.1430676; -5.2625046; 2.7977607; 0.3319607; 0.8573586; -0.5147196; 0.4329917; 9.4196339; -1.0611002; 0.3936844; 3.4418821; 2.3383619
-3.6191042; -4.3582990; 2.1265424; 0.9922256; 0.8778847; -0.4788720; 0.7759576; 10.5557280; -0.5966187; 0.4529357; 3.9696877; 0.9228433
-3.1332395; -3.4288282; 1.5846677; 1.7369278; 0.8858057; -0.4640563; 0.7069409; 11.6233115; -0.3132752; 0.0546358; 4.2468106; 0.7911500
-2.6804933; -2.6254669; 1.1762608; 2.5771430; 0.8486761; -0.5289129; 0.5351689; 12.5170351; -0.3696798; -0.2158021; 4.3809358; 0.5018503
-2.1773992; -1.9240649; 0.7678539; 3.4173582; 0.7659364; -0.6429164; 0.4178539; 13.3243577; -0.6129581; -0.3782828; 4.4375877; -0.3722603
-1.5305177; -1.2781682; 0.8956654; 2.8935233; 0.6449927; -0.7641887; 0.3936019; 14.1720389; -0.8887493; -0.2418611; 4.4655786; 0.3146520
-0.6594864; -0.6430708; 1.5175270; 2.2812696; 0.5499613; -0.8351901; 0.4114331; 15.2031116; -0.9908577; -0.0081531; 4.5211726; 0.1897496
0.3326360; 0.0014166; 2.2213371; 1.5292831; 0.5569524; -0.8305444; 0.3254498; 16.3936749; -0.7936176; 0.3178259; 4.5592020; 0.1034192
1.2076066; 0.6574143; 3.6356211; 1.0432808; 0.6535958; -0.7568438; -0.0616322; 17.5747423; -0.3333882; 0.6564509; 4.2755254; -4.5700293
1.7240353; 1.3266219; 3.8124673; 0.8291518; 0.9578368; -0.2873130; -0.4791518; 18.3452375; -0.0381780; -0.7581022; 3.1908173; -3.3887791
1.6748771; 2.0049936; 2.7952853; 0.7301777; 0.9195420; 0.3929918; -0.3801777; 18.7416590; -0.0916701; 0.6549075; 3.2011431; 2.7271259
1.1164798; 2.6444225; 4.0169190; 0.3108047; 0.6069784; 0.7947183; 0.1558059; 19.6672098; 0.3258703; 0.4539052; 3.7980485; 1.6937069
0.2270923; 3.1764096; 2.3115706; 0.6109460; 0.4188114; 0.9080732; 0.7182172; 20.9409429; 0.8117034; 0.4193457; 4.1837781; 0.2837734
-0.8145862; 3.5324701; 1.8702343; 1.1128486; 0.2256680; 0.9742043; 0.9406597; 22.2425587; 1.2948853; 0.3412061; 4.3638640; 0.5391727
-1.8718938; 3.6688128; 1.7121812; 1.1823819; 0.0276716; 0.9996171; 0.8722287; 23.4986462; 1.6808326; 0.2536584; 4.4813514; 0.2793723
-2.9005355; 3.5959060; 1.6929435; 1.1350474; -0.1685861; 0.9856869; 0.6585514; 24.7033869; 1.9608536; 0.2163138; 4.5377235; 0.1522663
-3.8684968; 3.3314320; 1.8510554; 0.9234943; -0.3570774; 0.9340748; 0.3897780; 25.8435387; 2.1832312; 0.1891168; 4.5662698; 0.0872950
-4.7437631; 2.8930730; 2.1293473; 0.5409222; -0.5359583; 0.8442445; 0.1261986; 26.9082629; 2.3794164; 0.1677061; 4.5825554; 0.0500466
-5.4943200; 2.2985111; 2.2100955; 0.4352380; -0.7014461; 0.7127225; -0.0852380; 27.8934408; 2.5327396; 0.1354124; 4.5912175; 0.0301804
-6.0881527; 1.5654285; 1.8221439; 0.9314851; -0.8447626; 0.5351413; -0.1973596; 28.8115427; 2.6240958; 0.0613739; 4.5960225; 0.0191443
