# 20980e0e-6dc0-44e1-9628-fe91375c37fc
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
-6.5571834; 0.6442909; 1.3233812; 1.6042353; -0.9047410; 0.4259621; -0.0660507; 0.0000000; 2.7801959; -0.0181874; 4.6043370; 0.0000202
-6.8856987; -0.4132765; 1.0355743; 1.9483925; -0.9844235; 0.1758134; -0.0041069; 1.0995062; 2.8549969; 0.0766483; 4.6043454; 0.0000008
-6.9661895; -1.5503382; 0.9707315; 2.0006351; -0.9996342; -0.0270474; 0.2697418; 2.2970873; 2.8549969; 0.0766483; 4.6043454; 0.0000008
-6.8365166; -2.6830071; 0.9945572; 1.9367889; -0.9803761; -0.1971361; 0.6445572; 3.5722698; 3.0949832; 0.2045338; 4.6043458; 0.0000000
-6.5345407; -3.7273959; 1.2952387; 1.6630205; -0.9325756; -0.3609747; 0.9295221; 4.8335250; -2.4499533; 0.4845172; 4.6043458; -3.5717648
-6.0981225; -4.5996176; 1.8077191; 1.2286582; -0.8416678; -0.5399957; 0.8514611; 6.0044358; -2.4499533; 0.4845172; 4.6043458; -3.5717648
-5.5651228; -5.2157849; 2.6149747; 0.6504710; -0.6236082; -0.7817371; 0.4937694; 7.1002002; -1.6724491; 0.2163442; 2.7382003; 3.4255647
-4.9734020; -5.4920119; 3.6972075; 0.1012993; -0.1219852; -0.9925319; 0.2487007; 7.9825520; -1.6724491; 0.2163442; 2.7382003; 3.4255647
-4.3540443; -5.3748911; 4.1092559; 0.0543570; 0.4155490; -0.9095708; 0.3998069; 8.7998885; -1.1376856; 0.4739334; 4.5430317; -2.9413612
-3.7136438; -4.9211686; 2.3465917; 0.7574652; 0.6796094; -0.7335742; 0.6900018; 9.8001227; -1.1376856; 0.4739334; 4.5430317; -2.9413612
-3.0532637; -4.2124671; 1.3619468; 1.7693643; 0.7695100; -0.6386347; 0.6678777; 10.8731876; -0.2473775; 0.1765812; 3.0586398; 2.9056719
-2.3739673; -3.3304089; 0.7581039; 2.8690984; 0.8075519; -0.5897966; 0.2046003; 12.1093253; -0.2473775; 0.1765812; 3.0586398; 2.9056719
-1.6768179; -2.3566168; 0.1794173; 3.9746351; 0.8150919; -0.5793317; -0.1705827; 13.3726338; -0.5922052; -0.5853024; 4.5279380; -5.1255557
-0.9628789; -1.3727133; 0.5594344; 3.1449969; 0.7993160; -0.6009109; 0.0911486; 14.6274614; -1.0671953; 0.0569834; 0.9160787; 5.0901999
-0.2491852; -0.4472606; 1.7217607; 2.1241844; 0.7909948; -0.6118229; 0.5738534; 15.8904291; -1.0671953; 0.0569834; 0.9160787; 5.0901999
0.3802532; 0.4059450; 3.1626209; 0.8786819; 0.8261091; -0.5635102; 0.7417773; 17.0128096; -0.4250496; 0.4397505; 4.5129357; -2.0478649
0.8238744; 1.1874601; 4.9791175; 0.2040655; 0.9228606; -0.3851341; 0.5414135; 18.0648191; -0.4250496; 0.4397505; 4.5129357; -2.0478649
0.9839131; 1.8968972; 3.6241163; 0.0630764; 0.9999988; 0.0015177; 0.3387587; 18.9854948; 0.1429179; 0.2121772; 3.5370076; 2.1723942
0.8332979; 2.5162926; 4.5353612; -0.0236156; 0.8873035; 0.4611860; 0.3736156; 19.7937064; 0.1429179; 0.2121772; 3.5370076; 2.1723942
0.4074824; 3.0121372; 2.5344740; 0.3689660; 0.6099371; 0.7924498; 0.6094359; 20.6905353; 0.6989790; 0.2907271; 4.5655577; 0.0889208
-0.2559239; 3.3503863; 2.1726087; 0.7796366; 0.3078140; 0.9514466; 0.9870329; 21.7748109; 0.6989790; 0.2907271; 4.5655577; 0.0889208
-1.1134710; 3.5039892; 1.9152961; 1.0420062; 0.0631371; 0.9980049; 1.3577999; 22.9987040; 1.2778421; 0.3307289; 4.6027645; -0.3029981
-2.1006507; 3.4711137; 1.8713461; 1.0017355; -0.1204945; 0.9927140; 1.5213461; 24.2691340; 1.8568849; 0.2720096; 4.4747132; 0.2942355
-3.1482098; 3.2556091; 2.0109420; 0.8031295; -0.2783043; 0.9604929; 1.4153007; 25.5865909; 1.8568849; 0.2720096; 4.4747132; 0.2942355
-4.1868957; 2.8613250; 2.2935026; 0.4227956; -0.4306225; 0.9025321; 1.0714033; 26.9492367; 2.3166981; 0.2060633; 4.5991114; 0.0120437
-5.1474551; 2.2921110; 2.5335814; 0.0901918; -0.5892830; 0.8079267; 0.5990621; 28.3063941; 2.6426230; 0.1319055; 4.6041316; 0.0004930
-5.9606354; 1.5518164; 1.9807858; 0.7569639; -0.7554066; 0.6552564; 0.1654738; 29.5676771; 2.6426230; 0.1319055; 4.6041316; 0.0004930
