# ab352871-2363-483d-bcc6-49528375231c
# d4d0dd9f9bc13b87afc6f5d2bcc01ddc6958e721
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
-6.4932468; 0.7115075; 1.3683505; 1.5576495; -0.9495122; 0.3137302; -0.2003049; 0.0000000; 2.8341679; 0.0093774; 6.9232492; 7.9609577
-6.6892915; -0.2458916; 1.2428754; 1.7304693; -0.9951766; 0.0980993; -0.1109967; 0.9465482; 2.8637567; 0.0465539; 7.6576372; 3.1501583
-6.7027909; -1.2906958; 1.2003011; 1.7797966; -0.9981731; -0.0604191; 0.1441217; 2.0231512; 2.9164977; 0.0533626; 7.9201546; 0.9160148
-6.5719528; -2.4071538; 1.2595522; 1.6785334; -0.9867417; -0.1622987; 0.5196129; 3.2388816; 2.9663008; 0.0307427; 7.3486081; -31.2058398
-6.3346940; -3.5776777; 1.4417180; 1.5091811; -0.9725942; -0.2325093; 0.8717180; 4.5360576; -3.0237848; 0.4460186; 3.6677451; -3.3630886
-6.0168188; -4.7082684; 1.7890304; 1.2483450; -0.9482625; -0.3174874; 0.7414895; 5.8017209; -2.5176448; 0.3686106; 3.9746013; 0.8711927
-5.6279219; -5.6026645; 2.3194250; 0.9465161; -0.8679297; -0.4966871; 0.2691320; 6.9778850; -2.0885416; 0.5078612; 3.4351251; -2.8781259
-5.1764651; -6.0574599; 3.0171776; 0.6400292; -0.2133287; -0.9769805; -0.0700292; 7.7255431; -1.8055675; -0.1307140; 3.4458265; -21.9932605
-4.6729711; -5.9070132; 3.7381100; 0.5276885; 0.5702949; -0.8214400; 0.1289483; 8.2950721; -1.3542608; 0.6063130; 2.7281678; 11.3197730
-4.1430676; -5.2625046; 2.7977607; 0.3319607; 0.8573586; -0.5147196; 0.6636794; 9.4018703; -1.0774501; 0.2138276; 5.1751080; -3.7905078
-3.6191042; -4.3582990; 2.1265424; 0.9922256; 0.8778847; -0.4788720; 1.0905923; 10.5743740; -0.6575770; 0.5086298; 3.4144838; 0.1322794
-3.1332395; -3.4288282; 1.5846677; 1.7369278; 0.8858057; -0.4640563; 1.0146677; 11.6552411; -0.1723343; 0.4565605; 3.6166173; -1.3323260
-2.6804933; -2.6254669; 1.1762608; 2.5771430; 0.8486761; -0.5289129; 0.5735017; 12.6280750; -0.0400140; -0.2756160; 4.6355397; -8.0640470
-2.1773992; -1.9240649; 0.7678539; 3.4173582; 0.7659364; -0.6429164; 0.1978539; 13.5256919; -0.3752124; -0.4549494; 3.6127251; -1.3283727
-1.5305177; -1.2781682; 0.8956654; 2.8935233; 0.6449927; -0.7641887; 0.0268357; 14.4447722; -0.8332316; -0.5146598; 3.3806528; 1.0905892
-0.6594864; -0.6430708; 1.5175270; 2.2812696; 0.5499613; -0.8351901; 0.1269778; 15.5243570; -1.1742206; -0.1682540; 4.9747153; 8.2128273
0.3326360; 0.0014166; 2.2213371; 1.5292831; 0.5569524; -0.8305444; 0.3004314; 16.7261061; -0.9681048; 0.5013661; 3.4593789; -2.9918255
1.2076066; 0.6574143; 3.6356211; 1.0432808; 0.6535958; -0.7568438; 0.0620702; 17.8766948; -0.4559773; 0.5171945; 3.4060316; -2.9002629
1.7240353; 1.3266219; 3.8124673; 0.8291518; 0.9578368; -0.2873130; -0.2591518; 18.7028726; -0.1705851; -0.1006580; 4.4598513; -23.5779776
1.6748771; 2.0049936; 2.7952853; 0.7301777; 0.9195420; 0.3929918; -0.1601777; 19.2478983; 0.0383437; 0.4242983; 3.2250550; 10.9498226
1.1164798; 2.6444225; 4.0169190; 0.3108047; 0.6069784; 0.7947183; 0.3346662; 20.2426486; 0.3730103; 0.3557311; 4.1042081; -3.1865477
0.2270923; 3.1764096; 2.3115706; 0.6109460; 0.4188114; 0.9080732; 0.8895001; 21.5450663; 0.8019211; 0.3576845; 4.0890832; -2.5772419
-0.8145862; 3.5324701; 1.8702343; 1.1128486; 0.2256680; 0.9742043; 1.1653936; 22.8951974; 1.2540830; 0.3389257; 4.1805057; -1.1810498
-1.8718938; 3.6688128; 1.7121812; 1.1823819; 0.0276716; 0.9996171; 1.1421812; 24.1997029; 1.6369649; 0.2489279; 4.7044343; 2.3894230
-2.9005355; 3.5959060; 1.6929435; 1.1350474; -0.1685861; 0.9856869; 0.9571296; 25.4553560; 1.9347959; 0.2130338; 5.1042182; 1.0846275
-3.8684968; 3.3314320; 1.8510554; 0.9234943; -0.3570774; 0.9340748; 0.6994568; 26.6514504; 2.1719208; 0.2012462; 5.2652030; 0.4288610
-4.7437631; 2.8930730; 2.1293473; 0.5409222; -0.5359583; 0.8442445; 0.4146438; 27.7802056; 2.4023114; 0.2021809; 5.2881751; -0.2971954
-5.4943200; 2.2985111; 2.2100955; 0.4352380; -0.7014461; 0.7127225; 0.1347620; 28.8347662; 2.6117774; 0.1985125; 5.3158031; 0.0327326
-6.0881527; 1.5654285; 1.8221439; 0.9314851; -0.8447626; 0.5351413; -0.0966351; 29.8106405; 2.7733090; 0.1180156; 5.9205353; 5.7232543
