# c0f8790e-b151-492e-b8d0-f66e66f769f6
# d416a58dd717fc5fa31ec798c474aa1fc51671cb
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -6.3030549; 0.6486658; 2.8341679; 0.0093774; 8.3341928; 2.6246985
0.0499598; -6.3176115; 0.6027775; 2.8346845; 0.0120760; 8.3499119; 2.5520130
0.0999196; -6.3321714; 0.5567861; 2.8353313; 0.0147286; 8.3651673; 2.4794202
0.1498793; -6.3467339; 0.5106723; 2.8361066; 0.0173268; 8.3799622; 2.4070115
0.1998391; -6.3612985; 0.4644170; 2.8370087; 0.0198626; 8.3943001; 2.3348989
0.2497989; -6.3758645; 0.4180007; 2.8380353; 0.0223283; 8.4081851; 2.2632124
0.2997587; -6.3904314; 0.3714043; 2.8391840; 0.0247169; 8.4216219; 2.1920967
0.3497184; -6.4049986; 0.3246084; 2.8404523; 0.0270216; 8.4346161; 2.1217084
0.3996782; -6.4195654; 0.2775938; 2.8418372; 0.0292367; 8.4471740; 2.0522119
0.4496380; -6.4341314; 0.2303411; 2.8433357; 0.0313565; 8.4593029; 1.9837766
0.4995978; -6.4486959; 0.1828312; 2.8449445; 0.0333764; 8.4710108; 1.9165725
0.5495576; -6.4632583; 0.1350446; 2.8466602; 0.0352922; 8.4823067; 1.8507677
0.5995173; -6.4778180; 0.0869622; 2.8484792; 0.0371004; 8.4932005; 1.7865245
0.6494771; -6.4923745; 0.0385646; 2.8503976; 0.0387980; 8.5037029; 1.7239966
0.6994369; -6.5069270; -0.0101674; 2.8524117; 0.0403830; 8.5138255; 1.6633265
0.7493967; -6.5214752; -0.0592531; 2.8545173; 0.0418536; 8.5235804; 1.6046429
0.7993565; -6.5360183; -0.1087118; 2.8567104; 0.0432089; 8.5329806; 1.5480590
0.8493162; -6.5505557; -0.1585628; 2.8589869; 0.0444486; 8.5420395; 1.4936707
0.8992760; -6.5650869; -0.2088253; 2.8613424; 0.0455728; 8.5507711; 1.4415556
0.9492358; -6.5795170; -0.2591878; 2.8637567; 0.0465539; 8.5591896; 1.3921309
0.9991956; -6.5922801; -0.3041231; 2.8659413; 0.0469764; 8.5673116; 1.3508317
1.0491553; -6.6050338; -0.3494042; 2.8681609; 0.0473855; 8.5751852; 1.3106786
1.0991151; -6.6177744; -0.3950298; 2.8704150; 0.0477819; 8.5828180; 1.2716404
1.1490749; -6.6304983; -0.4409985; 2.8727033; 0.0481664; 8.5902169; 1.2336865
1.1990347; -6.6432021; -0.4873091; 2.8750254; 0.0485395; 8.5973889; 1.1967872
1.2489945; -6.6558820; -0.5339603; 2.8773807; 0.0489018; 8.6043406; 1.1609134
1.2989542; -6.6685344; -0.5809507; 2.8797691; 0.0492540; 8.6110787; 1.1260367
1.3489140; -6.6811560; -0.6282791; 2.8821901; 0.0495965; 8.6176092; 1.0921294
1.3988738; -6.6937429; -0.6759441; 2.8846435; 0.0499299; 8.6239384; 1.0591647
1.4488336; -6.7062917; -0.7239445; 2.8871288; 0.0502546; 8.6300721; 1.0271162
1.4987933; -6.7187987; -0.7722789; 2.8896457; 0.0505710; 8.6360161; 0.9959584
1.5487531; -6.7312605; -0.8209461; 2.8921941; 0.0508796; 8.6417759; 0.9656665
1.5987129; -6.7436733; -0.8699448; 2.8947735; 0.0511808; 8.6473568; 0.9362163
1.6486727; -6.7560336; -0.9192736; 2.8973838; 0.0514749; 8.6527640; 0.9075842
1.6986325; -6.7683379; -0.9689312; 2.9000246; 0.0517623; 8.6580027; 0.8797473
1.7485922; -6.7805825; -1.0189164; 2.9026957; 0.0520433; 8.6630777; 0.8526835
1.7985520; -6.7927638; -1.0692279; 2.9053969; 0.0523182; 8.6679937; 0.8263709
1.8485118; -6.8048783; -1.1198643; 2.9081279; 0.0525873; 8.6727553; 0.8007887
1.8984716; -6.8169225; -1.1708244; 2.9108885; 0.0528509; 8.6773671; 0.7759163
1.9484314; -6.8288926; -1.2221068; 2.9136785; 0.0531093; 8.6818332; 0.7517340
1.9983911; -6.8407852; -1.2737102; 2.9164977; 0.0533626; 8.6861580; 0.7282225
2.0483509; -6.8519171; -1.3226276; 2.9191715; 0.0528243; 8.6903455; 0.7175523
2.0983107; -6.8623126; -1.3688587; 2.9216438; 0.0515324; 8.6944697; 0.7185026
2.1482705; -6.8726447; -1.4153395; 2.9240673; 0.0502674; 8.6985973; 0.7186033
2.1982302; -6.8829147; -1.4620696; 2.9264426; 0.0490286; 8.7027236; 0.7179123
2.2481900; -6.8931236; -1.5090486; 2.9287704; 0.0478156; 8.7068439; 0.7164841
2.2981498; -6.9032726; -1.5562762; 2.9310514; 0.0466277; 8.7109541; 0.7143701
2.3481096; -6.9133629; -1.6037520; 2.9332861; 0.0454644; 8.7150503; 0.7116191
2.3980694; -6.9233956; -1.6514756; 2.9354754; 0.0443251; 8.7191287; 0.7082768
2.4480291; -6.9333718; -1.6994467; 2.9376198; 0.0432093; 8.7231862; 0.7043866
2.4979889; -6.9432927; -1.7476648; 2.9397199; 0.0421164; 8.7272194; 0.6999894
2.5479487; -6.9531594; -1.7961297; 2.9417763; 0.0410460; 8.7312257; 0.6951239
2.5979085; -6.9629731; -1.8448409; 2.9437897; 0.0399976; 8.7352022; 0.6898265
2.6478683; -6.9727349; -1.8937981; 2.9457607; 0.0389706; 8.7391467; 0.6841316
2.6978280; -6.9824459; -1.9430008; 2.9476898; 0.0379646; 8.7430569; 0.6780717
2.7477878; -6.9921073; -1.9924488; 2.9495777; 0.0369790; 8.7469306; 0.6716774
2.7977476; -7.0017203; -2.0421416; 2.9514248; 0.0360136; 8.7507662; 0.6649776
2.8477074; -7.0112859; -2.0920790; 2.9532318; 0.0350677; 8.7545619; 0.6579997
2.8976671; -7.0208054; -2.1422604; 2.9549991; 0.0341409; 8.7583161; 0.6507694
2.9476269; -7.0302798; -2.1926855; 2.9567274; 0.0332329; 8.7620275; 0.6433108
2.9975867; -7.0397104; -2.2433541; 2.9584172; 0.0323432; 8.7656948; 0.6356469
