# 815b4737-d3e7-4d3f-a0d8-e64fda9ead1c
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -6.2979964; 0.6469944; 2.8251895; 0.0108708; 4.6013443; 0.0069077
0.0499336; -6.3129319; 0.6013322; 2.8257862; 0.0139602; 4.6014192; 0.0067352
0.0998672; -6.3278712; 0.5555543; 2.8265318; 0.0169938; 4.6014923; 0.0065671
0.1498008; -6.3428128; 0.5096417; 2.8274243; 0.0199623; 4.6015636; 0.0064031
0.1997344; -6.3577552; 0.4635756; 2.8284615; 0.0228572; 4.6016331; 0.0062433
0.2496680; -6.3726969; 0.4173373; 2.8296409; 0.0256701; 4.6017008; 0.0060874
0.2996016; -6.3876363; 0.3709078; 2.8309597; 0.0283935; 4.6017669; 0.0059354
0.3495352; -6.4025719; 0.3242683; 2.8324150; 0.0310204; 4.6018313; 0.0057872
0.3994688; -6.4175021; 0.2774000; 2.8340034; 0.0335443; 4.6018941; 0.0056427
0.4494024; -6.4324255; 0.2302840; 2.8357215; 0.0359594; 4.6019553; 0.0055018
0.4993360; -6.4473405; 0.1829015; 2.8375654; 0.0382608; 4.6020150; 0.0053645
0.5492696; -6.4622455; 0.1352336; 2.8395314; 0.0404441; 4.6020732; 0.0052305
0.5992032; -6.4771391; 0.0872615; 2.8416153; 0.0425054; 4.6021300; 0.0051000
0.6491368; -6.4920196; 0.0389664; 2.8438128; 0.0444418; 4.6021853; 0.0049726
0.6990703; -6.5068856; -0.0096706; 2.8461197; 0.0462511; 4.6022392; 0.0048485
0.7490039; -6.5217355; -0.0586683; 2.8485313; 0.0479315; 4.6022919; 0.0047274
0.7989375; -6.5365678; -0.1080456; 2.8510430; 0.0494821; 4.6023431; 0.0046094
0.8488711; -6.5513810; -0.1578213; 2.8536503; 0.0509025; 4.6023932; 0.0044943
0.8988047; -6.5661735; -0.2080143; 2.8563483; 0.0521931; 4.6024419; 0.0043821
0.9487383; -6.5808731; -0.2583998; 2.8591186; 0.0533372; 4.6024895; 0.0042727
0.9986719; -6.5938377; -0.3032787; 2.8616255; 0.0539871; 4.6025358; 0.0041660
1.0486055; -6.6067793; -0.3485069; 2.8641801; 0.0546181; 4.6025810; 0.0040620
1.0985391; -6.6196933; -0.3940829; 2.8667820; 0.0552313; 4.6026251; 0.0039606
1.1484727; -6.6325753; -0.4400052; 2.8694306; 0.0558276; 4.6026680; 0.0038617
1.1984063; -6.6454208; -0.4862721; 2.8721253; 0.0564081; 4.6027099; 0.0037653
1.2483399; -6.6582252; -0.5328822; 2.8748656; 0.0569736; 4.6027508; 0.0036713
1.2982735; -6.6709840; -0.5798338; 2.8776511; 0.0575249; 4.6027906; 0.0035796
1.3482071; -6.6836927; -0.6271255; 2.8804813; 0.0580627; 4.6028295; 0.0034903
1.3981407; -6.6963468; -0.6747555; 2.8833558; 0.0585877; 4.6028673; 0.0034031
1.4480743; -6.7089418; -0.7227224; 2.8862741; 0.0591007; 4.6029042; 0.0033181
1.4980079; -6.7214731; -0.7710246; 2.8892358; 0.0596023; 4.6029402; 0.0032353
1.5479415; -6.7339363; -0.8196605; 2.8922407; 0.0600930; 4.6029753; 0.0031545
1.5978751; -6.7463268; -0.8686285; 2.8952883; 0.0605734; 4.6030095; 0.0030758
1.6478087; -6.7586400; -0.9179271; 2.8983782; 0.0610440; 4.6030429; 0.0029990
1.6977423; -6.7708716; -0.9675548; 2.9015102; 0.0615053; 4.6030754; 0.0029241
1.7476759; -6.7830169; -1.0175099; 2.9046839; 0.0619577; 4.6031072; 0.0028511
1.7976095; -6.7950715; -1.0677910; 2.9078990; 0.0624017; 4.6031381; 0.0027799
1.8475431; -6.8070309; -1.1183963; 2.9111552; 0.0628377; 4.6031683; 0.0027105
1.8974767; -6.8188904; -1.1693244; 2.9144522; 0.0632660; 4.6031977; 0.0026428
1.9474103; -6.8306456; -1.2205737; 2.9177899; 0.0636869; 4.6032263; 0.0025769
1.9973438; -6.8422920; -1.2721426; 2.9211679; 0.0641009; 4.6032543; 0.0025125
2.0472774; -6.8532284; -1.3213239; 2.9243996; 0.0638070; 4.6032815; 0.0024498
2.0972110; -6.8633988; -1.3677441; 2.9274064; 0.0627461; 4.6033081; 0.0023886
2.1471446; -6.8734776; -1.4144134; 2.9303774; 0.0617114; 4.6033340; 0.0023290
2.1970782; -6.8834650; -1.4613302; 2.9333133; 0.0607022; 4.6033593; 0.0022708
2.2470118; -6.8933610; -1.5084932; 2.9362147; 0.0597176; 4.6033839; 0.0022141
2.2969454; -6.9031656; -1.5559008; 2.9390823; 0.0587570; 4.6034079; 0.0021589
2.3468790; -6.9128789; -1.6035516; 2.9419168; 0.0578197; 4.6034313; 0.0021050
2.3968126; -6.9225011; -1.6514442; 2.9447188; 0.0569051; 4.6034542; 0.0020524
2.4467462; -6.9320320; -1.6995770; 2.9474890; 0.0560124; 4.6034764; 0.0020012
2.4966798; -6.9414719; -1.7479487; 2.9502280; 0.0551410; 4.6034981; 0.0019512
2.5466134; -6.9508208; -1.7965578; 2.9529363; 0.0542904; 4.6035193; 0.0019025
2.5965470; -6.9600786; -1.8454028; 2.9556146; 0.0534600; 4.6035399; 0.0018550
2.6464806; -6.9692456; -1.8944824; 2.9582634; 0.0526492; 4.6035601; 0.0018087
2.6964142; -6.9783217; -1.9437949; 2.9608833; 0.0518574; 4.6035797; 0.0017635
2.7463478; -6.9873071; -1.9933390; 2.9634749; 0.0510841; 4.6035988; 0.0017195
