# 21da0211-f985-415e-8ce0-06657dd81d0b
# d416a58dd717fc5fa31ec798c474aa1fc51671cb
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -6.2980304; 0.6470056; 2.8185388; 0.0041347; 8.3734840; 2.4690900
0.0499996; -6.3132678; 0.6014723; 2.8188152; 0.0073726; 8.3882145; 2.4027358
0.0999991; -6.3285270; 0.5558200; 2.8192471; 0.0105595; 8.4025242; 2.3354966
0.1499987; -6.3438065; 0.5100295; 2.8198326; 0.0136855; 8.4164102; 2.2675012
0.1999983; -6.3591048; 0.4640816; 2.8205697; 0.0167414; 8.4298700; 2.1989075
0.2499978; -6.3744203; 0.4179570; 2.8214560; 0.0197182; 8.4429022; 2.1298992
0.2999974; -6.3897516; 0.3716364; 2.8224890; 0.0226077; 8.4555063; 2.0606817
0.3499970; -6.4050970; 0.3251006; 2.8236657; 0.0254023; 8.4676828; 1.9914778
0.3999965; -6.4204550; 0.2783304; 2.8249830; 0.0280951; 8.4794339; 1.9225231
0.4499961; -6.4358243; 0.2313064; 2.8264374; 0.0306796; 8.4907626; 1.8540615
0.4999957; -6.4512031; 0.1840094; 2.8280252; 0.0331504; 8.5016736; 1.7863404
0.5499952; -6.4665900; 0.1364202; 2.8297426; 0.0355025; 8.5121728; 1.7196062
0.5999948; -6.4819834; 0.0885196; 2.8315855; 0.0377319; 8.5222676; 1.6541000
0.6499944; -6.4973819; 0.0402881; 2.8335497; 0.0398350; 8.5319666; 1.5900533
0.6999939; -6.5127839; -0.0082933; 2.8356308; 0.0418093; 8.5412796; 1.5276842
0.7499935; -6.5281879; -0.0572440; 2.8378242; 0.0436527; 8.5502178; 1.4671946
0.7999931; -6.5435924; -0.1065832; 2.8401254; 0.0453640; 8.5587933; 1.4087666
0.8499926; -6.5589957; -0.1563302; 2.8425295; 0.0469425; 8.5670192; 1.3525606
0.8999922; -6.5743965; -0.2065043; 2.8450319; 0.0483882; 8.5749095; 1.2987138
0.9499918; -6.5897412; -0.2569527; 2.8476185; 0.0496858; 8.5824789; 1.2475583
0.9999913; -6.6032203; -0.3016634; 2.8499541; 0.0503359; 8.5897438; 1.2062111
1.0499909; -6.6166905; -0.3467290; 2.8523366; 0.0509670; 8.5967621; 1.1660209
1.0999905; -6.6301474; -0.3921477; 2.8547655; 0.0515803; 8.6035411; 1.1269563
1.1499900; -6.6435863; -0.4379178; 2.8572403; 0.0521767; 8.6100879; 1.0889863
1.1999896; -6.6570029; -0.4840375; 2.8597605; 0.0527574; 8.6164095; 1.0520805
1.2499892; -6.6703926; -0.5305051; 2.8623255; 0.0533232; 8.6225123; 1.0162090
1.2999887; -6.6837510; -0.5773187; 2.8649349; 0.0538750; 8.6284030; 0.9813429
1.3499883; -6.6970735; -0.6244767; 2.8675882; 0.0544136; 8.6340878; 0.9474534
1.3999879; -6.7103557; -0.6719773; 2.8702851; 0.0549397; 8.6395727; 0.9145128
1.4499874; -6.7235931; -0.7198188; 2.8730251; 0.0554541; 8.6448636; 0.8824940
1.4999870; -6.7367813; -0.7679993; 2.8758078; 0.0559574; 8.6499662; 0.8513703
1.5499866; -6.7499156; -0.8165172; 2.8786329; 0.0564503; 8.6548860; 0.8211161
1.5999861; -6.7629916; -0.8653707; 2.8815000; 0.0569333; 8.6596284; 0.7917062
1.6499857; -6.7760049; -0.9145580; 2.8844089; 0.0574070; 8.6641984; 0.7631161
1.6999853; -6.7889510; -0.9640774; 2.8873591; 0.0578718; 8.6686010; 0.7353221
1.7499848; -6.8018253; -1.0139271; 2.8903505; 0.0583284; 8.6728413; 0.7083011
1.7999844; -6.8146233; -1.0641053; 2.8933826; 0.0587771; 8.6769237; 0.6820306
1.8499840; -6.8273407; -1.1146104; 2.8964554; 0.0592183; 8.6808529; 0.6564888
1.8999835; -6.8399729; -1.1654405; 2.8995684; 0.0596525; 8.6846333; 0.6316545
1.9499831; -6.8525153; -1.2165940; 2.9027215; 0.0600800; 8.6882692; 0.6075074
1.9999827; -6.8649636; -1.2680690; 2.9059145; 0.0605012; 8.6917646; 0.5840274
2.0499822; -6.8768099; -1.3177378; 2.9090097; 0.0604032; 8.6951235; 0.5703364
2.0999818; -6.8876888; -1.3639597; 2.9118545; 0.0594206; 8.6984025; 0.5725720
