# 63cb3611-074e-4255-878b-d1e832a5ec8e
# 7f5b797e76429a6460da3d54b800368c0e70b607
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -6.2980304; 0.6470056; 2.8185388; 0.0041347; 6.9098861; 0.0633686
0.0499996; -6.3132678; 0.6014723; 2.8188152; 0.0073726; 6.9103446; 0.0617844
0.0999991; -6.3285270; 0.5558200; 2.8192471; 0.0105595; 6.9107916; 0.0602398
0.1499987; -6.3438065; 0.5100295; 2.8198326; 0.0136855; 6.9112275; 0.0587338
0.1999983; -6.3591048; 0.4640816; 2.8205697; 0.0167414; 6.9116523; 0.0572654
0.2499978; -6.3744203; 0.4179570; 2.8214560; 0.0197182; 6.9120666; 0.0558338
0.2999974; -6.3897516; 0.3716364; 2.8224890; 0.0226077; 6.9124705; 0.0544380
0.3499970; -6.4050970; 0.3251006; 2.8236657; 0.0254023; 6.9128642; 0.0530771
0.3999965; -6.4204550; 0.2783304; 2.8249830; 0.0280951; 6.9132481; 0.0517501
0.4499961; -6.4358243; 0.2313064; 2.8264374; 0.0306796; 6.9136224; 0.0504564
0.4999957; -6.4512031; 0.1840094; 2.8280252; 0.0331504; 6.9139873; 0.0491950
0.5499952; -6.4665900; 0.1364202; 2.8297426; 0.0355025; 6.9143430; 0.0479651
0.5999948; -6.4819834; 0.0885196; 2.8315855; 0.0377319; 6.9146899; 0.0467660
0.6499944; -6.4973819; 0.0402881; 2.8335497; 0.0398350; 6.9150280; 0.0455969
0.6999939; -6.5127839; -0.0082933; 2.8356308; 0.0418093; 6.9153577; 0.0444570
0.7499935; -6.5281879; -0.0572440; 2.8378242; 0.0436527; 6.9156791; 0.0433455
0.7999931; -6.5435924; -0.1065832; 2.8401254; 0.0453640; 6.9159925; 0.0422619
0.8499926; -6.5589957; -0.1563302; 2.8425295; 0.0469425; 6.9162980; 0.0412054
0.8999922; -6.5743965; -0.2065043; 2.8450319; 0.0483882; 6.9165959; 0.0401753
0.9499918; -6.5897412; -0.2569527; 2.8476185; 0.0496858; 6.9168863; 0.0391709
0.9999913; -6.6032203; -0.3016634; 2.8499541; 0.0503359; 6.9171695; 0.0381916
1.0499909; -6.6166905; -0.3467290; 2.8523366; 0.0509670; 6.9174455; 0.0372368
1.0999905; -6.6301474; -0.3921477; 2.8547655; 0.0515803; 6.9177147; 0.0363059
1.1499900; -6.6435863; -0.4379178; 2.8572403; 0.0521767; 6.9179771; 0.0353983
1.1999896; -6.6570029; -0.4840375; 2.8597605; 0.0527574; 6.9182329; 0.0345133
1.2499892; -6.6703926; -0.5305051; 2.8623255; 0.0533232; 6.9184823; 0.0336505
1.2999887; -6.6837510; -0.5773187; 2.8649349; 0.0538750; 6.9187255; 0.0328093
1.3499883; -6.6970735; -0.6244767; 2.8675882; 0.0544136; 6.9189626; 0.0319890
1.3999879; -6.7103557; -0.6719773; 2.8702851; 0.0549397; 6.9191938; 0.0311893
1.4499874; -6.7235931; -0.7198188; 2.8730251; 0.0554541; 6.9194192; 0.0304096
1.4999870; -6.7367813; -0.7679993; 2.8758078; 0.0559574; 6.9196389; 0.0296494
1.5499866; -6.7499156; -0.8165172; 2.8786329; 0.0564503; 6.9198531; 0.0289081
1.5999861; -6.7629916; -0.8653707; 2.8815000; 0.0569333; 6.9200620; 0.0281854
1.6499857; -6.7760049; -0.9145580; 2.8844089; 0.0574070; 6.9202657; 0.0274808
1.6999853; -6.7889510; -0.9640774; 2.8873591; 0.0578718; 6.9204642; 0.0267938
1.7499848; -6.8018253; -1.0139271; 2.8903505; 0.0583284; 6.9206578; 0.0261239
1.7999844; -6.8146233; -1.0641053; 2.8933826; 0.0587771; 6.9208465; 0.0254709
1.8499840; -6.8273407; -1.1146104; 2.8964554; 0.0592183; 6.9210305; 0.0248341
1.8999835; -6.8399729; -1.1654405; 2.8995684; 0.0596525; 6.9212099; 0.0242132
1.9499831; -6.8525153; -1.2165940; 2.9027215; 0.0600800; 6.9213849; 0.0236079
1.9999827; -6.8649636; -1.2680690; 2.9059145; 0.0605012; 6.9215554; 0.0230177
2.0499822; -6.8768099; -1.3177378; 2.9090097; 0.0604032; 6.9217217; 0.0224423
2.0999818; -6.8876888; -1.3639597; 2.9118545; 0.0594206; 6.9218838; 0.0218812
2.1499814; -6.8984880; -1.4104314; 2.9146665; 0.0584595; 6.9220418; 0.0213342
2.1999809; -6.9092074; -1.4571521; 2.9174461; 0.0575193; 6.9221959; 0.0208009
2.2499805; -6.9198472; -1.5041210; 2.9201939; 0.0565997; 6.9223462; 0.0202808
2.2999801; -6.9304075; -1.5513372; 2.9229105; 0.0557000; 6.9224927; 0.0197738
2.3499796; -6.9408884; -1.5987999; 2.9255964; 0.0548196; 6.9226355; 0.0192795
2.3999792; -6.9512899; -1.6465082; 2.9282520; 0.0539583; 6.9227747; 0.0187975
2.4499788; -6.9616123; -1.6944613; 2.9308780; 0.0531153; 6.9229105; 0.0183276
2.4999783; -6.9718555; -1.7426583; 2.9334748; 0.0522903; 6.9230429; 0.0178694
2.5499779; -6.9820198; -1.7910984; 2.9360428; 0.0514829; 6.9231719; 0.0174226
2.5999775; -6.9921051; -1.8397808; 2.9385826; 0.0506925; 6.9232977; 0.0169871
2.6499770; -7.0021117; -1.8887046; 2.9410946; 0.0499187; 6.9234204; 0.0165624
2.6999766; -7.0120395; -1.9378689; 2.9435793; 0.0491612; 6.9235400; 0.0161484
2.7499762; -7.0218888; -1.9872730; 2.9460371; 0.0484194; 6.9236566; 0.0157446
2.7999757; -7.0316596; -2.0369159; 2.9484684; 0.0476931; 6.9237703; 0.0153510
2.8499753; -7.0413519; -2.0867969; 2.9508738; 0.0469819; 6.9238812; 0.0149673
2.8999749; -7.0509660; -2.1369150; 2.9532535; 0.0462853; 6.9239893; 0.0145931
2.9499744; -7.0605019; -2.1872695; 2.9556080; 0.0456030; 6.9240947; 0.0142283
2.9999740; -7.0699597; -2.2378594; 2.9579378; 0.0449347; 6.9241974; 0.0138726
3.0499736; -7.0793395; -2.2886841; 2.9602431; 0.0442800; 6.9242976; 0.0135257
3.0999731; -7.0886415; -2.3397425; 2.9625245; 0.0436385; 6.9243952; 0.0131876
3.1499727; -7.0978657; -2.3910339; 2.9647823; 0.0430100; 6.9244905; 0.0128579
