# 62ef5c43-db54-4471-badc-16f1091ba32c
# 0eff4fe46bdd1cb4e985dd5d8c20728fc807e0c2
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -6.2980304; 0.6470056; 2.8185388; 0.0041347; 5.2958563; 0.9876360
0.0499996; -6.3132678; 0.6014723; 2.8188152; 0.0073726; 5.3051726; 0.9610943
0.0999991; -6.3285270; 0.5558200; 2.8192471; 0.0105595; 5.3142229; 0.9341986
0.1499987; -6.3438065; 0.5100295; 2.8198326; 0.0136855; 5.3230052; 0.9070005
0.1999983; -6.3591048; 0.4640816; 2.8205697; 0.0167414; 5.3315179; 0.8795630
0.2499978; -6.3744203; 0.4179570; 2.8214560; 0.0197182; 5.3397602; 0.8519597
0.2999974; -6.3897516; 0.3716364; 2.8224890; 0.0226077; 5.3477317; 0.8242727
0.3499970; -6.4050970; 0.3251006; 2.8236657; 0.0254023; 5.3554328; 0.7965911
0.3999965; -6.4204550; 0.2783304; 2.8249830; 0.0280951; 5.3628648; 0.7690092
0.4499961; -6.4358243; 0.2313064; 2.8264374; 0.0306796; 5.3700298; 0.7416246
0.4999957; -6.4512031; 0.1840094; 2.8280252; 0.0331504; 5.3769305; 0.7145362
0.5499952; -6.4665900; 0.1364202; 2.8297426; 0.0355025; 5.3835708; 0.6878425
0.5999948; -6.4819834; 0.0885196; 2.8315855; 0.0377319; 5.3899553; 0.6616400
0.6499944; -6.4973819; 0.0402881; 2.8335497; 0.0398350; 5.3960895; 0.6360213
0.6999939; -6.5127839; -0.0082933; 2.8356308; 0.0418093; 5.4019796; 0.6110737
0.7499935; -6.5281879; -0.0572440; 2.8378242; 0.0436527; 5.4076326; 0.5868778
0.7999931; -6.5435924; -0.1065832; 2.8401254; 0.0453640; 5.4130562; 0.5635066
0.8499926; -6.5589957; -0.1563302; 2.8425295; 0.0469425; 5.4182587; 0.5410243
0.8999922; -6.5743965; -0.2065043; 2.8450319; 0.0483882; 5.4232490; 0.5194855
0.9499918; -6.5897412; -0.2569527; 2.8476185; 0.0496858; 5.4280362; 0.4990233
0.9999913; -6.6032203; -0.3016634; 2.8499541; 0.0503359; 5.4326310; 0.4824844
1.0499909; -6.6166905; -0.3467290; 2.8523366; 0.0509670; 5.4370697; 0.4664084
1.0999905; -6.6301474; -0.3921477; 2.8547655; 0.0515803; 5.4413572; 0.4507825
1.1499900; -6.6435863; -0.4379178; 2.8572403; 0.0521767; 5.4454977; 0.4355945
1.1999896; -6.6570029; -0.4840375; 2.8597605; 0.0527574; 5.4494958; 0.4208322
1.2499892; -6.6703926; -0.5305051; 2.8623255; 0.0533232; 5.4533556; 0.4064836
1.2999887; -6.6837510; -0.5773187; 2.8649349; 0.0538750; 5.4570812; 0.3925371
1.3499883; -6.6970735; -0.6244767; 2.8675882; 0.0544136; 5.4606766; 0.3789814
1.3999879; -6.7103557; -0.6719773; 2.8702851; 0.0549397; 5.4641456; 0.3658051
1.4499874; -6.7235931; -0.7198188; 2.8730251; 0.0554541; 5.4674918; 0.3529976
1.4999870; -6.7367813; -0.7679993; 2.8758078; 0.0559574; 5.4707190; 0.3405481
1.5499866; -6.7499156; -0.8165172; 2.8786329; 0.0564503; 5.4738306; 0.3284465
1.5999861; -6.7629916; -0.8653707; 2.8815000; 0.0569333; 5.4768299; 0.3166825
1.6499857; -6.7760049; -0.9145580; 2.8844089; 0.0574070; 5.4797202; 0.3052465
1.6999853; -6.7889510; -0.9640774; 2.8873591; 0.0578718; 5.4825047; 0.2941289
1.7499848; -6.8018253; -1.0139271; 2.8903505; 0.0583284; 5.4851864; 0.2833204
1.7999844; -6.8146233; -1.0641053; 2.8933826; 0.0587771; 5.4877684; 0.2728122
1.8499840; -6.8273407; -1.1146104; 2.8964554; 0.0592183; 5.4902535; 0.2625955
1.8999835; -6.8399729; -1.1654405; 2.8995684; 0.0596525; 5.4926444; 0.2526618
1.9499831; -6.8525153; -1.2165940; 2.9027215; 0.0600800; 5.4949439; 0.2430030
1.9999827; -6.8649636; -1.2680690; 2.9059145; 0.0605012; 5.4971546; 0.2336110
2.0499822; -6.8768099; -1.3177378; 2.9090097; 0.0604032; 5.4992790; 0.2281346
2.0999818; -6.8876888; -1.3639597; 2.9118545; 0.0594206; 5.5013528; 0.2290288
2.1499814; -6.8984880; -1.4104314; 2.9146665; 0.0584595; 5.5034340; 0.2296528
2.1999809; -6.9092074; -1.4571521; 2.9174461; 0.0575193; 5.5055200; 0.2300244
2.2499805; -6.9198472; -1.5041210; 2.9201939; 0.0565997; 5.5076086; 0.2301603
2.2999801; -6.9304075; -1.5513372; 2.9229105; 0.0557000; 5.5096977; 0.2300762
2.3499796; -6.9408884; -1.5987999; 2.9255964; 0.0548196; 5.5117852; 0.2297870
2.3999792; -6.9512899; -1.6465082; 2.9282520; 0.0539583; 5.5138693; 0.2293067
2.4499788; -6.9616123; -1.6944613; 2.9308780; 0.0531153; 5.5159482; 0.2286486
2.4999783; -6.9718555; -1.7426583; 2.9334748; 0.0522903; 5.5180204; 0.2278252
2.5499779; -6.9820198; -1.7910984; 2.9360428; 0.0514829; 5.5200844; 0.2268481
2.5999775; -6.9921051; -1.8397808; 2.9385826; 0.0506925; 5.5221388; 0.2257284
2.6499770; -7.0021117; -1.8887046; 2.9410946; 0.0499187; 5.5241822; 0.2244768
2.6999766; -7.0120395; -1.9378689; 2.9435793; 0.0491612; 5.5262136; 0.2231029
2.7499762; -7.0218888; -1.9872730; 2.9460371; 0.0484194; 5.5282318; 0.2216161
2.7999757; -7.0316596; -2.0369159; 2.9484684; 0.0476931; 5.5302358; 0.2200252
2.8499753; -7.0413519; -2.0867969; 2.9508738; 0.0469819; 5.5322247; 0.2183385
2.8999749; -7.0509660; -2.1369150; 2.9532535; 0.0462853; 5.5341977; 0.2165637
2.9499744; -7.0605019; -2.1872695; 2.9556080; 0.0456030; 5.5361539; 0.2147083
2.9999740; -7.0699597; -2.2378594; 2.9579378; 0.0449347; 5.5380927; 0.2127791
3.0499736; -7.0793395; -2.2886841; 2.9602431; 0.0442800; 5.5400134; 0.2107828
