# 0ca6a865-4a5c-4907-9c50-ee99a91b49dd
# 4bf35be4c15348fcd1807fc0cb790a42da1e1d43
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -6.3030549; 0.6486658; 2.8341679; 0.0093774; 6.0815211; 2.7409377
0.0499598; -6.3176115; 0.6027775; 2.8346845; 0.0120760; 6.1039965; 2.6636934
0.0999196; -6.3321714; 0.5567861; 2.8353313; 0.0147286; 6.1257594; 2.5861406
0.1498793; -6.3467339; 0.5106723; 2.8361066; 0.0173268; 6.1468149; 2.5083631
0.1998391; -6.3612985; 0.4644170; 2.8370087; 0.0198626; 6.1671686; 2.4304769
0.2497989; -6.3758645; 0.4180007; 2.8380353; 0.0223283; 6.1868264; 2.3526268
0.2997587; -6.3904314; 0.3714043; 2.8391840; 0.0247169; 6.2057952; 2.2749834
0.3497184; -6.4049986; 0.3246084; 2.8404523; 0.0270216; 6.2240830; 2.1977392
0.3996782; -6.4195654; 0.2775938; 2.8418372; 0.0292367; 6.2416990; 2.1211040
0.4496380; -6.4341314; 0.2303411; 2.8433357; 0.0313565; 6.2586537; 2.0453004
0.4995978; -6.4486959; 0.1828312; 2.8449445; 0.0333764; 6.2749591; 1.9705594
0.5495576; -6.4632583; 0.1350446; 2.8466602; 0.0352922; 6.2906287; 1.8971147
0.5995173; -6.4778180; 0.0869622; 2.8484792; 0.0371004; 6.3056774; 1.8251988
0.6494771; -6.4923745; 0.0385646; 2.8503976; 0.0387980; 6.3201219; 1.7550375
0.6994369; -6.5069270; -0.0101674; 2.8524117; 0.0403830; 6.3339801; 1.6868461
0.7493967; -6.5214752; -0.0592531; 2.8545173; 0.0418536; 6.3472713; 1.6208253
0.7993565; -6.5360183; -0.1087118; 2.8567104; 0.0432089; 6.3600161; 1.5571575
0.8493162; -6.5505557; -0.1585628; 2.8589869; 0.0444486; 6.3722363; 1.4960038
0.8992760; -6.5650869; -0.2088253; 2.8613424; 0.0455728; 6.3839545; 1.4375018
0.9492358; -6.5795170; -0.2591878; 2.8637567; 0.0465539; 6.3951943; 1.3822494
0.9991956; -6.5922801; -0.3041231; 2.8659413; 0.0469764; 6.4059834; 1.3376737
