# 9ee75f4b-3b16-4fbd-8840-aa726b4f87db
# a647f1488239d2fb16e01465e3ed51cfc2cca470
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -6.3030549; 0.6486658; 2.8341679; 0.0093774; 6.0178798; 2.9321504
0.0499598; -6.3176115; 0.6027775; 2.8346845; 0.0120760; 6.0421731; 2.8492125
0.0999196; -6.3321714; 0.5567861; 2.8353313; 0.0147286; 6.0656861; 2.7658506
0.1498793; -6.3467339; 0.5106723; 2.8361066; 0.0173268; 6.0884243; 2.6821513
0.1998391; -6.3612985; 0.4644170; 2.8370087; 0.0198626; 6.1103936; 2.5982376
0.2497989; -6.3758645; 0.4180007; 2.8380353; 0.0223283; 6.1316005; 2.5142658
0.2997587; -6.3904314; 0.3714043; 2.8391840; 0.0247169; 6.1520524; 2.4304226
0.3497184; -6.4049986; 0.3246084; 2.8404523; 0.0270216; 6.1717579; 2.3469200
0.3996782; -6.4195654; 0.2775938; 2.8418372; 0.0292367; 6.1907269; 2.2639909
0.4496380; -6.4341314; 0.2303411; 2.8433357; 0.0313565; 6.2089706; 2.1818841
0.4995978; -6.4486959; 0.1828312; 2.8449445; 0.0333764; 6.2265021; 2.1008585
0.5495576; -6.4632583; 0.1350446; 2.8466602; 0.0352922; 6.2433361; 2.0211782
0.5995173; -6.4778180; 0.0869622; 2.8484792; 0.0371004; 6.2594889; 1.9431064
0.6494771; -6.4923745; 0.0385646; 2.8503976; 0.0387980; 6.2749785; 1.8669004
0.6994369; -6.5069270; -0.0101674; 2.8524117; 0.0403830; 6.2898247; 1.7928064
0.7493967; -6.5214752; -0.0592531; 2.8545173; 0.0418536; 6.3040488; 1.7210551
0.7993565; -6.5360183; -0.1087118; 2.8567104; 0.0432089; 6.3176735; 1.6518571
0.8493162; -6.5505557; -0.1585628; 2.8589869; 0.0444486; 6.3307228; 1.5853999
0.8992760; -6.5650869; -0.2088253; 2.8613424; 0.0455728; 6.3432219; 1.5218443
0.9492358; -6.5795170; -0.2591878; 2.8637567; 0.0465539; 6.3551968; 1.4618693
