# 53742c19-ed14-46e1-b7bc-6c7c57e70c0d
# d416a58dd717fc5fa31ec798c474aa1fc51671cb
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -6.2980304; 0.6470056; 2.8185388; 0.0041347; 7.4706409; 0.0473812
0.0499996; -6.3132678; 0.6014723; 2.8188152; 0.0073726; 7.4709580; 0.0461967
0.0999991; -6.3285270; 0.5558200; 2.8192471; 0.0105595; 7.4712671; 0.0450418
0.1499987; -6.3438065; 0.5100295; 2.8198326; 0.0136855; 7.4715686; 0.0439158
0.1999983; -6.3591048; 0.4640816; 2.8205697; 0.0167414; 7.4718624; 0.0428179
0.2499978; -6.3744203; 0.4179570; 2.8214560; 0.0197182; 7.4721490; 0.0417474
0.2999974; -6.3897516; 0.3716364; 2.8224890; 0.0226077; 7.4724283; 0.0407038
0.3499970; -6.4050970; 0.3251006; 2.8236657; 0.0254023; 7.4727007; 0.0396862
0.3999965; -6.4204550; 0.2783304; 2.8249830; 0.0280951; 7.4729662; 0.0386940
0.4499961; -6.4358243; 0.2313064; 2.8264374; 0.0306796; 7.4732251; 0.0377267
0.4999957; -6.4512031; 0.1840094; 2.8280252; 0.0331504; 7.4734775; 0.0367835
0.5499952; -6.4665900; 0.1364202; 2.8297426; 0.0355025; 7.4737236; 0.0358640
0.5999948; -6.4819834; 0.0885196; 2.8315855; 0.0377319; 7.4739635; 0.0349674
0.6499944; -6.4973819; 0.0402881; 2.8335497; 0.0398350; 7.4741974; 0.0340932
0.6999939; -6.5127839; -0.0082933; 2.8356308; 0.0418093; 7.4744255; 0.0332409
0.7499935; -6.5281879; -0.0572440; 2.8378242; 0.0436527; 7.4746479; 0.0324099
0.7999931; -6.5435924; -0.1065832; 2.8401254; 0.0453640; 7.4748647; 0.0315996
0.8499926; -6.5589957; -0.1563302; 2.8425295; 0.0469425; 7.4750760; 0.0308096
0.8999922; -6.5743965; -0.2065043; 2.8450319; 0.0483882; 7.4752821; 0.0300394
0.9499918; -6.5897412; -0.2569527; 2.8476185; 0.0496858; 7.4754830; 0.0292884
0.9999913; -6.6032203; -0.3016634; 2.8499541; 0.0503359; 7.4756789; 0.0285562
1.0499909; -6.6166905; -0.3467290; 2.8523366; 0.0509670; 7.4758699; 0.0278423
1.0999905; -6.6301474; -0.3921477; 2.8547655; 0.0515803; 7.4760561; 0.0271463
1.1499900; -6.6435863; -0.4379178; 2.8572403; 0.0521767; 7.4762377; 0.0264676
1.1999896; -6.6570029; -0.4840375; 2.8597605; 0.0527574; 7.4764147; 0.0258059
1.2499892; -6.6703926; -0.5305051; 2.8623255; 0.0533232; 7.4765872; 0.0251608
1.2999887; -6.6837510; -0.5773187; 2.8649349; 0.0538750; 7.4767555; 0.0245318
1.3499883; -6.6970735; -0.6244767; 2.8675882; 0.0544136; 7.4769196; 0.0239185
1.3999879; -6.7103557; -0.6719773; 2.8702851; 0.0549397; 7.4770795; 0.0233205
1.4499874; -6.7235931; -0.7198188; 2.8730251; 0.0554541; 7.4772354; 0.0227375
1.4999870; -6.7367813; -0.7679993; 2.8758078; 0.0559574; 7.4773875; 0.0221691
1.5499866; -6.7499156; -0.8165172; 2.8786329; 0.0564503; 7.4775357; 0.0216149
1.5999861; -6.7629916; -0.8653707; 2.8815000; 0.0569333; 7.4776803; 0.0210745
1.6499857; -6.7760049; -0.9145580; 2.8844089; 0.0574070; 7.4778212; 0.0205476
1.6999853; -6.7889510; -0.9640774; 2.8873591; 0.0578718; 7.4779586; 0.0200339
1.7499848; -6.8018253; -1.0139271; 2.8903505; 0.0583284; 7.4780925; 0.0195331
1.7999844; -6.8146233; -1.0641053; 2.8933826; 0.0587771; 7.4782231; 0.0190448
1.8499840; -6.8273407; -1.1146104; 2.8964554; 0.0592183; 7.4783504; 0.0185687
1.8999835; -6.8399729; -1.1654405; 2.8995684; 0.0596525; 7.4784746; 0.0181045
1.9499831; -6.8525153; -1.2165940; 2.9027215; 0.0600800; 7.4785956; 0.0176518
1.9999827; -6.8649636; -1.2680690; 2.9059145; 0.0605012; 7.4787136; 0.0172106
