# c4f37a34-f9e2-41d4-8311-7b7357e08626
# d4d0dd9f9bc13b87afc6f5d2bcc01ddc6958e721
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -6.3030549; 0.6486658; 2.8341679; 0.0093774; 6.9232492; 7.9609577
0.0499598; -6.3176115; 0.6027775; 2.8346845; 0.0120760; 6.9804610; 7.7218799
0.0999196; -6.3321714; 0.5567861; 2.8353313; 0.0147286; 7.0355101; 7.4772106
0.1498793; -6.3467339; 0.5106723; 2.8361066; 0.0173268; 7.0884075; 7.2269614
0.1998391; -6.3612985; 0.4644170; 2.8370087; 0.0198626; 7.1391622; 6.9713540
0.2497989; -6.3758645; 0.4180007; 2.8380353; 0.0223283; 7.1877821; 6.7108179
0.2997587; -6.3904314; 0.3714043; 2.8391840; 0.0247169; 7.2342762; 6.4459834
0.3497184; -6.4049986; 0.3246084; 2.8404523; 0.0270216; 7.2786560; 6.1776709
0.3996782; -6.4195654; 0.2775938; 2.8418372; 0.0292367; 7.3209359; 5.9068745
0.4496380; -6.4341314; 0.2303411; 2.8433357; 0.0313565; 7.3611354; 5.6347425
0.4995978; -6.4486959; 0.1828312; 2.8449445; 0.0333764; 7.3992794; 5.3625535
0.5495576; -6.4632583; 0.1350446; 2.8466602; 0.0352922; 7.4353991; 5.0916893
0.5995173; -6.4778180; 0.0869622; 2.8484792; 0.0371004; 7.4695327; 4.8236048
0.6494771; -6.4923745; 0.0385646; 2.8503976; 0.0387980; 7.5017259; 4.5597958
0.6994369; -6.5069270; -0.0101674; 2.8524117; 0.0403830; 7.5320319; 4.3017663
0.7493967; -6.5214752; -0.0592531; 2.8545173; 0.0418536; 7.5605116; 4.0509940
0.7993565; -6.5360183; -0.1087118; 2.8567104; 0.0432089; 7.5872333; 3.8088978
0.8493162; -6.5505557; -0.1585628; 2.8589869; 0.0444486; 7.6122725; 3.5768064
0.8992760; -6.5650869; -0.2088253; 2.8613424; 0.0455728; 7.6357112; 3.3559296
0.9492358; -6.5795170; -0.2591878; 2.8637567; 0.0465539; 7.6576372; 3.1501583
0.9991956; -6.5922801; -0.3041231; 2.8659413; 0.0469764; 7.6781619; 3.0034749
1.0491553; -6.6050338; -0.3494042; 2.8681609; 0.0473855; 7.6976799; 2.8613674
1.0991151; -6.6177744; -0.3950298; 2.8704150; 0.0477819; 7.7162285; 2.7237581
