# 98227cc7-8fea-4466-8e4c-4af9fad0a42a,,,,,,
# a3fa675326173f9407a3faaaea427d33741e4eee,,,,,,
# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0,-6.3030549,0.6486658,2.8341679,0.0093774,7.1226812,7.2706099
0.0499598,-6.3176115,0.6027775,2.8346845,0.012076,7.1734973,7.0562696
0.0999196,-6.3321714,0.5567861,2.8353313,0.0147286,7.2224734,6.8381363
0.1498793,-6.3467339,0.5106723,2.8361066,0.0173268,7.2696208,6.6162994
0.1998391,-6.3612985,0.464417,2.8370087,0.0198626,7.3149493,6.3910078
0.2497989,-6.3758645,0.4180007,2.8380353,0.0223283,7.3584693,6.1626651
0.2997587,-6.3904314,0.3714043,2.839184,0.0247169,7.400192,5.9318217
0.3497184,-6.4049986,0.3246084,2.8404523,0.0270216,7.4401308,5.699164
0.3996782,-6.4195654,0.2775938,2.8418372,0.0292367,7.4783022,5.4655002
0.449638,-6.4341314,0.2303411,2.8433357,0.0313565,7.5147265,5.2317427
0.4995978,-6.4486959,0.1828312,2.8449445,0.0333764,7.5494283,4.9988894
0.5495576,-6.4632583,0.1350446,2.8466602,0.0352922,7.5824373,4.7680014
0.5995173,-6.477818,0.0869622,2.8484792,0.0371004,7.6137882,4.5401802
0.6494771,-6.4923745,0.0385646,2.8503976,0.038798,7.6435217,4.3165439
0.6994369,-6.506927,-0.0101674,2.8524117,0.040383,7.6716837,4.0982023
0.7493967,-6.5214752,-0.0592531,2.8545173,0.0418536,7.6983259,3.8862337
0.7993565,-6.5360183,-0.1087118,2.8567104,0.0432089,7.7235052,3.6816612
0.8493162,-6.5505557,-0.1585628,2.8589869,0.0444486,7.7472836,3.4854324
0.899276,-6.5650869,-0.2088253,2.8613424,0.0455728,7.7697275,3.2983998
0.9492358,-6.579517,-0.2591878,2.8637567,0.0465539,7.7909075,3.1234699
0.9991956,-6.5922801,-0.3041231,2.8659413,0.0469764,7.8109113,2.994202
1.0491553,-6.6050338,-0.3494042,2.8681609,0.0473855,7.8300393,2.8688142
1.0991151,-6.6177744,-0.3950298,2.870415,0.0477819,7.8483225,2.7472302
1.1490749,-6.6304983,-0.4409985,2.8727033,0.0481664,7.865791,2.6293724
1.1990347,-6.6432021,-0.4873091,2.8750254,0.0485395,7.8824738,2.5151624
1.2489945,-6.655882,-0.5339603,2.8773807,0.0489018,7.898399,2.4045208
1.2989542,-6.6685344,-0.5809507,2.8797691,0.049254,7.9135938,2.2973679
1.348914,-6.681156,-0.6282791,2.8821901,0.0495965,7.9280841,2.1936235
1.3988738,-6.6937429,-0.6759441,2.8846435,0.0499299,7.9418955,2.0932075
1.4488336,-6.7062917,-0.7239445,2.8871288,0.0502546,7.9550523,1.9960397
1.4987933,-6.7187987,-0.7722789,2.8896457,0.050571,7.967578,1.9020404
1.5487531,-6.7312605,-0.8209461,2.8921941,0.0508796,7.9794956,1.8111299
1.5987129,-6.7436733,-0.8699448,2.8947735,0.0511808,7.9908271,1.7232294
1.6486727,-6.7560336,-0.9192736,2.8973838,0.0514749,8.0015937,1.6382605
1.6986325,-6.7683379,-0.9689312,2.9000246,0.0517623,8.0118161,1.5561459
1.7485922,-6.7805825,-1.0189164,2.9026957,0.0520433,8.021514,1.476809
1.798552,-6.7927638,-1.0692279,2.9053969,0.0523182,8.0307066,1.4001741
1.8485118,-6.8048783,-1.1198643,2.9081279,0.0525873,8.0394125,1.3261668
1.8984716,-6.8169225,-1.1708244,2.9108885,0.0528509,8.0476495,1.2547137
1.9484314,-6.8288926,-1.2221068,2.9136785,0.0531093,8.055435,1.1857425
1.9983911,-6.8407852,-1.2737102,2.9164977,0.0533626,8.0627856,1.1191826
2.0483509,-6.8519171,-1.3226276,2.9191715,0.0528243,8.0697175,1.1383774
2.0983107,-6.8623126,-1.3688587,2.9216438,0.0515324,8.0767621,1.2342395
2.1482705,-6.8726447,-1.4153395,2.9240673,0.0502674,8.0843931,1.3210506
2.1982302,-6.8829147,-1.4620696,2.9264426,0.0490286,8.0925528,1.3995351
2.24819,-6.8931236,-1.5090486,2.9287704,0.0478156,8.1011882,1.4703464
2.2981498,-6.9032726,-1.5562762,2.9310514,0.0466277,8.1102508,1.5340758
2.3481096,-6.9133629,-1.603752,2.9332861,0.0454644,8.1196953,1.5912597
2.3980694,-6.9233956,-1.6514756,2.9354754,0.0443251,8.1294803,1.6423861
2.4480291,-6.9333718,-1.6994467,2.9376198,0.0432093,8.1395673,1.6879005
2.4979889,-6.9432927,-1.7476648,2.9397199,0.0421164,8.1499209,1.7282101
2.5479487,-6.9531594,-1.7961297,2.9417763,0.041046,8.1605081,1.7636882
2.5979085,-6.9629731,-1.8448409,2.9437897,0.0399976,8.1712985,1.7946778
2.6478683,-6.9727349,-1.8937981,2.9457607,0.0389706,8.1822639,1.8214946
2.697828,-6.9824459,-1.9430008,2.9476898,0.0379646,8.1933782,1.8444296
2.7477878,-6.9921073,-1.9924488,2.9495777,0.036979,8.204617,1.863752
2.7977476,-7.0017203,-2.0421416,2.9514248,0.0360136,8.215958,1.8797108
2.8477074,-7.0112859,-2.092079,2.9532318,0.0350677,8.2273802,1.8925367
2.8976671,-7.0208054,-2.1422604,2.9549991,0.0341409,8.2388644,1.9024443
2.9476269,-7.0302798,-2.1926855,2.9567274,0.0332329,8.2503926,1.9096328
2.9975867,-7.0397104,-2.2433541,2.9584172,0.0323432,8.2619482,1.9142878
3.0475465,-7.0490981,-2.2942656,2.9600689,0.0314713,8.2735157,1.9165825
3.0975063,-7.0584443,-2.3454197,2.9616831,0.030617,8.285081,-18.6908091
3.147466,-7.06775,-2.3968161,2.9632604,0.0297797,8.1715965,-35.1192808
3.1974258,-7.0770164,-2.4484543,2.9648011,0.0289592,7.9539856,-34.2576251
3.2473856,-7.0861462,-2.4997783,2.9663008,0.0307427,7.735818,-32.7714627
3.2973454,-7.0947509,-2.548613,2.9681803,0.0450208,7.5211947,-31.2082051
3.3473051,-7.1032766,-2.5976407,2.9707724,0.0591265,7.3109548,-29.6150292
3.3972649,-7.1116838,-2.6468454,2.9740736,0.0731186,7.1056976,-28.0254401
3.4472247,-7.119933,-2.6962109,2.9780822,0.0870528,6.9058417,-26.4630558
3.4971845,-7.1279844,-2.7457212,2.9827982,0.1009818,6.7116669,-24.9442306
3.5471443,-7.1357987,-2.7953602,2.9882235,0.1149555,6.523347,-23.4799301
3.597104,-7.1433362,-2.8451118,2.9943615,0.1290214,6.3409741,-22.077101
3.6470638,-7.1505574,-2.8949599,3.0012171,0.143224,6.1645777,-20.7396894
3.6970236,-7.1574227,-2.9448885,3.008797,0.1576056,5.9941402,-19.4694063
3.7469834,-7.1638926,-2.9948814,3.0171089,0.1722055,5.8296091,-18.2663084
3.7969432,-7.1699275,-3.0449226,3.0261619,0.1870604,5.6709066,-17.1292412
3.8469029,-7.1754879,-3.0949959,3.0359665,0.2022036,5.5179376,-16.0561796
3.8968627,-7.1805342,-3.1450854,3.0465338,0.2176651,5.3705967,-15.0444887
3.9468225,-7.1850269,-3.1951749,3.0578762,0.2334708,5.2287733,-14.0911254
3.9967823,-7.1889264,-3.2452483,3.0700068,0.249642,5.0923562,-13.1927918
4.046742,-7.1921932,-3.2952895,3.0829392,0.266195,4.9612371,-12.3460519
4.0967018,-7.1947876,-3.3452825,3.0966874,0.2831397,4.835314,-11.5474157
4.1466616,-7.1966703,-3.3952112,3.1112658,0.3004792,4.7144935,-10.7933917
4.1966214,-7.1978015,-3.4450594,3.1266884,0.3182086,4.598693,-10.0804954
4.2465812,-7.1981417,-3.4948112,-3.1402162,0.3363137,4.4878435,-9.4051572
4.2965409,-7.1976515,-3.5444503,-3.1230643,0.3547698,4.3818923,-8.7632939
4.3465007,-7.1962912,-3.5939608,-3.1050292,0.3735405,4.2808125,-8.1483585
4.3964605,-7.1940212,-3.6433266,-3.0861001,0.3925764,4.1846356,-7.5395025
4.4464203,-7.1908021,-3.6925314,-3.0662683,0.4118135,4.093633,-6.7191392
4.49638,-7.1865943,-3.7415594,-3.0455275,0.4311724,4.0107927,-3.9236033
4.5463398,-7.1813287,-3.7906441,-3.0237848,0.4460186,3.9616175,-3.9236033
4.5962996,-7.1748646,-3.8404781,-3.0014408,0.443218,3.9118242,1.1236272
4.6462594,-7.1673046,-3.890081,-2.9792756,0.4402395,3.9261483,1.0522982
4.6962192,-7.1586629,-3.9394402,-2.9572926,0.4371076,3.939516,1.0521123
4.7461789,-7.1489537,-3.9885433,-2.9354944,0.4338461,3.952836,1.081732
4.7961387,-7.1381913,-4.0373779,-2.9138827,0.4304784,3.9664844,1.1218031
4.8460985,-7.1263898,-4.0859315,-2.8924583,0.4270272,3.980589,1.1636258
4.8960583,-7.1135636,-4.1341916,-2.8712216,0.4235141,3.9951668,1.2032926
4.9460181,-7.0997269,-4.1821459,-2.850172,0.4199601,4.0101858,1.2390171
4.9959778,-7.0848938,-4.2297818,-2.8293081,0.4163852,4.0255922,1.2699607
5.0459376,-7.0690787,-4.2770869,-2.8086282,0.4128081,4.0413223,1.2957167
5.0958974,-7.0522958,-4.3240487,-2.7881298,0.4092467,4.0573087,1.316081
5.1458572,-7.0345593,-4.3706548,-2.7678097,0.4057179,4.073482,1.3309477
5.1958169,-7.0158835,-4.4168928,-2.7476643,0.4022374,4.0897731,1.3402614
5.2457767,-6.9962825,-4.4627501,-2.7276896,0.3988197,4.1061128,1.3439944
5.2957365,-6.9757707,-4.5082143,-2.707881,0.3954786,4.1224329,1.3421367
5.3456963,-6.9543622,-4.5532731,-2.6882333,0.3922268,4.1386663,1.3346908
5.3956561,-6.9320714,-4.5979138,-2.6687413,0.3890757,4.1547468,1.3216695
5.4456158,-6.9089124,-4.6421241,-2.649399,0.3860362,4.1706092,1.3030961
5.4955756,-6.8848994,-4.6858916,-2.6302004,0.3831182,4.1861899,1.2790033
5.5455354,-6.8600468,-4.7292037,-2.6111389,0.3803305,4.2014264,1.2494348
5.5954952,-6.8343687,-4.7720479,-2.5922079,0.3776815,4.2162574,1.2144452
5.645455,-6.8078794,-4.814412,-2.5734003,0.3751786,4.2306233,1.1741014
5.6954147,-6.7805932,-4.8562833,-2.5547089,0.3728284,4.2444657,1.1284835
5.7453745,-6.7525241,-4.8976495,-2.5361263,0.3706373,4.2577279,1.0776859
5.7953343,-6.7236866,-4.9384981,-2.5176448,0.3686106,4.2703546,1.0218186
5.8452941,-6.692109,-4.9814719,-2.4982081,0.3596178,4.2822924,2.1222793
5.8952538,-6.6594263,-5.0241995,-2.4791089,0.3506433,4.306981,2.7535649
5.9452136,-6.6259805,-5.066257,-2.4604831,0.3427725,4.338804,3.0458671
5.9951734,-6.5918293,-5.1076154,-2.4422846,0.3359884,4.3737355,3.1405472
