# x_m,y_m,w_tr_right_m,w_tr_left_m
6.222698959135267,10.012311882884406,1.984,1.527
6.25087348352692,11.003101119390038,1.306,1.5
6.25614284194495,12.296162183765226,1.502,1.385
6.353785539619751,13.939130703925994,1.373,1.464
6.341099542004757,15.086816634732614,1.359,1.205
6.607067052826851,16.22889929916245,1.045,1.47
6.381076041434097,17.1892644681423,1.416,1.179
5.803488238297505,17.724843754251946,1.408,1.155
5.139512522187192,17.97987402397258,1.419,1.2
4.008690755975244,17.60594955465095,1.828,1.268
3.5822706384308036,16.615445432274754,1.75,1.217
3.5124968509532755,15.685879078088353,1.6,1.226
3.5284611960244683,14.368083974944037,1.354,1.461
3.3456245583587587,13.088911309834362,1.114,1.157
3.2914606216755673,11.650892867960343,1.095,1.481
3.339750633424673,10.52764699499867,1.041,1.422
3.3766732807423785,9.73467882756977,1.156,1.131
3.6202785814631406,8.710274244519956,1.748,1.156
4.613260509799374,8.038221303026798,1.618,1.325
5.922078811871499,8.585599846088284,1.461,1.301
